Matches_name,Player_Name,Runs,Balls,Fours,Sixes,SR
Biratnagar vs Janakpur - 1st Match,Lokesh Bam,5,6,1,0,83.33
Biratnagar vs Janakpur - 1st Match,Martin Guptill,55,43,7,1,127.9
Biratnagar vs Janakpur - 1st Match,Aqib Ilyas,15,18,1,0,83.33
Biratnagar vs Janakpur - 1st Match,Nicholas Kirton,9,13,1,0,69.23
Biratnagar vs Janakpur - 1st Match,Basir Ahamad,7,9,0,0,77.77
Biratnagar vs Janakpur - 1st Match,Rajesh Pulami,1,6,0,0,16.66
Biratnagar vs Janakpur - 1st Match,Pratis GC,2,3,0,0,66.66
Biratnagar vs Janakpur - 1st Match,Sandeep Lamichhane,7,4,0,1,175
Biratnagar vs Janakpur - 1st Match,Chris Sole,4,5,0,0,80
Biratnagar vs Janakpur - 1st Match,Jitendra Mukhiya,0,1,0,0,0
Biratnagar vs Janakpur - 1st Match,Anil Kharel,7,7,1,0,100
Biratnagar vs Janakpur - 1st Match,Anil Sah,5,4,0,0,125
Biratnagar vs Janakpur - 1st Match,Aasif Sheikh,0,3,0,0,0
Biratnagar vs Janakpur - 1st Match,Lahiru Milantha,75,53,9,3,141.5
Biratnagar vs Janakpur - 1st Match,Harsh Thaker,29,33,2,0,87.87
Biratnagar vs Janakpur - 1st Match,Lalit Rajbanshi,,,,,
Biratnagar vs Janakpur - 1st Match,Mohammad Mohsin,,,,,
Biratnagar vs Janakpur - 1st Match,Shubh Kansakar,,,,,
Biratnagar vs Janakpur - 1st Match,Tul Thapa,,,,,
Biratnagar vs Janakpur - 1st Match,Kishore Mahato,,,,,
Biratnagar vs Janakpur - 1st Match,Arniko Yadav,,,,,
Biratnagar vs Janakpur - 1st Match,Ben Mike,,,,,
Kathmandu vs Chitwan - 2nd Match,Stephen Eskinazi,2,4,0,0,50
Kathmandu vs Chitwan - 2nd Match,Michael Levitt,25,16,4,1,156.25
Kathmandu vs Chitwan - 2nd Match,Sumit Maharjan,29,41,1,0,70.73
Kathmandu vs Chitwan - 2nd Match,Gerhard Erasmus,4,4,1,0,100
Kathmandu vs Chitwan - 2nd Match,Bhim Sharki,1,4,0,0,25
Kathmandu vs Chitwan - 2nd Match,Shankar Rana,16,17,1,1,94.11
Kathmandu vs Chitwan - 2nd Match,Rashid Khan,4,9,0,0,44.44
Kathmandu vs Chitwan - 2nd Match,Dan Douthwaite,19,18,2,0,105.55
Kathmandu vs Chitwan - 2nd Match,Karan KC,1,2,0,0,50
Kathmandu vs Chitwan - 2nd Match,Shahab Alam,1,3,0,0,33.33
Kathmandu vs Chitwan - 2nd Match,Dipesh Kandel,1,2,0,0,50
Kathmandu vs Chitwan - 2nd Match,Hassan Eisakhil,12,7,1,1,171.42
Kathmandu vs Chitwan - 2nd Match,Deepak Bohara,7,7,0,1,100
Kathmandu vs Chitwan - 2nd Match,Luc Benkenstein,22,17,1,2,129.41
Kathmandu vs Chitwan - 2nd Match,Kushal Malla,11,11,1,0,100
Kathmandu vs Chitwan - 2nd Match,Ravi Bopara,11,9,2,0,122.22
Kathmandu vs Chitwan - 2nd Match,Santosh Karki,28,31,2,1,90.32
Kathmandu vs Chitwan - 2nd Match,Sharad Vesawkar,11,21,0,0,52.38
Kathmandu vs Chitwan - 2nd Match,Amar Routela,,,,,
Kathmandu vs Chitwan - 2nd Match,Rijan Dhakal,,,,,
Kathmandu vs Chitwan - 2nd Match,Bipin Rawal,,,,,
Kathmandu vs Chitwan - 2nd Match,Sohail Tanvir,,,,,
Karnali vs Janakpur - 3rd Match,Dev Khanal,1,5,0,0,20
Karnali vs Janakpur - 3rd Match,Shikhar Dhawan,14,14,3,0,100
Karnali vs Janakpur - 3rd Match,Chadwick Walton,8,12,1,0,66.66
Karnali vs Janakpur - 3rd Match,Babar Hayat,12,25,0,0,48
Karnali vs Janakpur - 3rd Match,Zeeshan Maqsood,0,2,0,0,0
Karnali vs Janakpur - 3rd Match,Gulsan Jha,36,27,1,3,133.33
Karnali vs Janakpur - 3rd Match,Arjun Gharti,33,22,2,2,150
Karnali vs Janakpur - 3rd Match,Sompal Kami,29,13,3,1,223.07
Karnali vs Janakpur - 3rd Match,Nandan Yadav,0,0,0,0,-
Karnali vs Janakpur - 3rd Match,Mousom Dhakal,,,,,
Karnali vs Janakpur - 3rd Match,Bhuvan Karki,,,,,
Karnali vs Janakpur - 3rd Match,Anil Sah,62,42,6,3,147.61
Karnali vs Janakpur - 3rd Match,Aasif Sheikh,36,29,2,2,124.13
