matches_name,Player_Name,Overs,Maidens,Runs_conceded,Wickets,Economy,Wides,No_balls
Biratnagar vs Janakpur - 1st Match,Kishore Mahato,3,0,18,2,6,2,1
Biratnagar vs Janakpur - 1st Match,Lalit Rajbanshi,4,0,28,3,7,0,0
Biratnagar vs Janakpur - 1st Match,Ben Mike,3,0,29,1,9.66,4,0
Biratnagar vs Janakpur - 1st Match,Mohammad Mohsin,4,0,20,1,5,0,0
Biratnagar vs Janakpur - 1st Match,Tul Thapa,1,0,7,0,7,0,0
Biratnagar vs Janakpur - 1st Match,Harsh Thaker,4,0,22,2,5.5,0,0
Biratnagar vs Janakpur - 1st Match,Chris Sole,3,0,31,1,10.33,6,0
Biratnagar vs Janakpur - 1st Match,Pratis GC,2,0,14,1,7,3,0
Biratnagar vs Janakpur - 1st Match,Jitendra Mukhiya,2,0,12,0,6,1,0
Biratnagar vs Janakpur - 1st Match,Aqib Ilyas,3,0,19,0,6.33,0,0
Biratnagar vs Janakpur - 1st Match,Sandeep Lamichhane,4,0,30,0,7.5,0,0
Biratnagar vs Janakpur - 1st Match,Anil Kharel,1,0,11,0,11,0,0
Biratnagar vs Janakpur - 1st Match,Nicholas Kirton,0.3,0,6,0,12,0,0
Kathmandu vs Chitwan - 2nd Match,Rijan Dhakal,4,0,22,1,5.5,0,0
Kathmandu vs Chitwan - 2nd Match,Sohail Tanvir,4,0,21,5,5.25,0,0
Kathmandu vs Chitwan - 2nd Match,Kushal Malla,3,0,17,1,5.66,0,0
Kathmandu vs Chitwan - 2nd Match,Ravi Bopara,4,0,23,0,5.75,2,0
Kathmandu vs Chitwan - 2nd Match,Amar Routela,2,0,9,1,4.5,0,0
Kathmandu vs Chitwan - 2nd Match,Luc Benkenstein,3,0,14,1,4.66,0,0
Kathmandu vs Chitwan - 2nd Match,Karan KC,2,0,18,0,9,0,0
Kathmandu vs Chitwan - 2nd Match,Shahab Alam,4,0,20,3,5,0,0
Kathmandu vs Chitwan - 2nd Match,Dipesh Kandel,4,0,29,0,7.25,0,0
Kathmandu vs Chitwan - 2nd Match,Gerhard Erasmus,3.1,0,22,1,6.94,2,0
Kathmandu vs Chitwan - 2nd Match,Dan Douthwaite,3,0,15,1,5,1,0
Kathmandu vs Chitwan - 2nd Match,Rashid Khan,1,0,3,0,3,0,0
Karnali vs Janakpur - 3rd Match,Kishore Mahato,4,0,28,1,7,7,0
Karnali vs Janakpur - 3rd Match,Lalit Rajbanshi,4,0,16,1,4,0,0
Karnali vs Janakpur - 3rd Match,Harsh Thaker,4,0,45,1,11.25,0,0
Karnali vs Janakpur - 3rd Match,James Neesham,4,0,37,1,9.25,0,0
Karnali vs Janakpur - 3rd Match,Mohammad Mohsin,4,0,14,2,3.5,0,0
Karnali vs Janakpur - 3rd Match,Nandan Yadav,1,0,16,0,16,2,0
Karnali vs Janakpur - 3rd Match,Bhuvan Karki,4,0,26,0,6.5,0,0
Karnali vs Janakpur - 3rd Match,Sompal Kami,3,0,33,0,11,0,1
Karnali vs Janakpur - 3rd Match,Zeeshan Maqsood,4,0,33,1,8.25,1,0
Karnali vs Janakpur - 3rd Match,Gulsan Jha,1,0,9,0,9,0,0
Karnali vs Janakpur - 3rd Match,Mousom Dhakal,2.1,0,25,1,11.53,0,0
S Paschim vs Biratnagar - 4th Match,Chris Sole,4,0,37,1,9.25,2,0
S Paschim vs Biratnagar - 4th Match,Ismat Alam,3,0,35,1,11.66,1,0
S Paschim vs Biratnagar - 4th Match,Pratis GC,4,0,43,0,10.75,2,0
S Paschim vs Biratnagar - 4th Match,Anil Kharel,4,0,26,3,6.5,1,0
S Paschim vs Biratnagar - 4th Match,Basir Ahamad,1,0,9,1,9,0,0
S Paschim vs Biratnagar - 4th Match,Sandeep Lamichhane,4,0,31,0,7.75,0,0
S Paschim vs Biratnagar - 4th Match,Scott Kuggeleijn,4,0,30,3,7.5,3,0
S Paschim vs Biratnagar - 4th Match,Brandon McMullen,3,1,8,1,2.66,0,0
S Paschim vs Biratnagar - 4th Match,Saif Zaib,3.1,0,24,1,7.57,0,0
S Paschim vs Biratnagar - 4th Match,Dipendra Singh Airee,2,0,9,0,4.5,0,0
S Paschim vs Biratnagar - 4th Match,Abinash Bohara,3,0,17,3,5.66,0,0
S Paschim vs Biratnagar - 4th Match,Ishan Pandey,1,0,4,1,4,0,0
Chitwan vs Pokhara - 5th Match,Bipin Khatri,3,0,28,2,9.33,1,0
Chitwan vs Pokhara - 5th Match,Bas de Leede,4,0,20,2,5,1,0
Chitwan vs Pokhara - 5th Match,Sagar Dhakal,3,0,16,1,5.33,0,0
Chitwan vs Pokhara - 5th Match,Matt Critchley,2,0,20,0,10,0,0
Chitwan vs Pokhara - 5th Match,Raymon Reifer,4,0,38,2,9.5,2,0
Chitwan vs Pokhara - 5th Match,Narayan Joshi,1,0,10,0,10,0,0
Chitwan vs Pokhara - 5th Match,Michael Leask,2,0,18,0,9,0,0
Chitwan vs Pokhara - 5th Match,Kushal Bhurtel,1,0,10,0,10,0,0
Chitwan vs Pokhara - 5th Match,Sohail Tanvir,3,1,6,3,2,0,0
Chitwan vs Pokhara - 5th Match,Rijan Dhakal,3,1,10,3,3.33,0,0
Chitwan vs Pokhara - 5th Match,Luc Benkenstein,4,0,37,3,9.25,5,0
Chitwan vs Pokhara - 5th Match,Kushal Malla,2,0,11,0,5.5,0,0
Chitwan vs Pokhara - 5th Match,Deepak Bohara,1.2,0,9,1,6.75,0,0
Karnali vs Kathmandu - 6th Match,Karan KC,3,0,19,1,6.33,1,0
Karnali vs Kathmandu - 6th Match,Gerhard Erasmus,4,0,29,2,7.25,3,0
Karnali vs Kathmandu - 6th Match,Rashid Khan,4,0,28,0,7,1,0
Karnali vs Kathmandu - 6th Match,Shahab Alam,1,0,10,0,10,0,0
Karnali vs Kathmandu - 6th Match,Nathan Sowter,4,0,32,1,8,1,0
Karnali vs Kathmandu - 6th Match,Dipesh Kandel,1,0,7,1,7,0,0
Karnali vs Kathmandu - 6th Match,Bhim Sharki,3,0,18,0,6,0,0
Karnali vs Kathmandu - 6th Match,Sompal Kami,4,0,34,1,8.5,1,0
Karnali vs Kathmandu - 6th Match,Nandan Yadav,3.3,0,32,1,9.14,3,0
Karnali vs Kathmandu - 6th Match,Gulsan Jha,3,0,31,1,10.33,1,0
Karnali vs Kathmandu - 6th Match,Zeeshan Maqsood,4,0,24,1,6,0,0
Karnali vs Kathmandu - 6th Match,Bipin Sharma,4,0,18,1,4.5,1,0
Karnali vs Kathmandu - 6th Match,Bhuvan Karki,1,0,13,0,13,0,0
Lumbini vs Biratnagar - 7th Match,Pratis GC,3,0,16,0,5.33,0,0
Lumbini vs Biratnagar - 7th Match,Chris Sole,4,0,34,0,8.5,3,0
Lumbini vs Biratnagar - 7th Match,Anil Kharel,2,0,29,0,14.5,0,0
Lumbini vs Biratnagar - 7th Match,Sandeep Lamichhane,4,0,26,1,6.5,0,0
Lumbini vs Biratnagar - 7th Match,Ismat Alam,2,0,21,1,10.5,1,0
Lumbini vs Biratnagar - 7th Match,Rajesh Pulami,2,0,22,1,11,2,0
Lumbini vs Biratnagar - 7th Match,Basir Ahamad,3,0,28,0,9.33,0,0
Lumbini vs Biratnagar - 7th Match,Ramon Simmonds,4,0,33,2,8.25,2,0
Lumbini vs Biratnagar - 7th Match,Saad Bin Zafar,4,0,35,2,8.75,1,0
Lumbini vs Biratnagar - 7th Match,Bibek Yadav,3.5,0,64,1,16.69,5,0
Lumbini vs Biratnagar - 7th Match,Durgesh Gupta,4,0,21,3,5.25,0,0
Lumbini vs Biratnagar - 7th Match,Surya Tamang,4,0,35,0,8.75,2,0
Pokhara vs Janakpur - 8th Match,Kishore Mahato,4,0,32,1,8,1,0
Pokhara vs Janakpur - 8th Match,James Neesham,4,0,29,2,7.25,2,0
Pokhara vs Janakpur - 8th Match,Harsh Thaker,3,0,14,0,4.66,1,0
Pokhara vs Janakpur - 8th Match,Lalit Rajbanshi,4,0,31,3,7.75,1,0
Pokhara vs Janakpur - 8th Match,Mohammad Mohsin,4,1,17,1,4.25,0,0
Pokhara vs Janakpur - 8th Match,Tul Thapa,1,0,12,0,12,0,0
Pokhara vs Janakpur - 8th Match,Aakash Chand,2,0,21,0,10.5,2,0
Pokhara vs Janakpur - 8th Match,Bipin Khatri,1,0,6,1,6,0,0
Pokhara vs Janakpur - 8th Match,Michael Leask,4,0,17,1,4.25,0,0
Pokhara vs Janakpur - 8th Match,Raymon Reifer,1,0,12,0,12,0,0
Pokhara vs Janakpur - 8th Match,Narayan Joshi,1,0,21,0,21,3,0
Pokhara vs Janakpur - 8th Match,Sagar Dhakal,4,0,20,0,5,0,0
Pokhara vs Janakpur - 8th Match,Matt Critchley,2,0,27,0,13.5,0,0
Pokhara vs Janakpur - 8th Match,Kushal Bhurtel,2.1,0,18,1,8.3,0,0
S Paschim vs Kathmandu - 9th Match,Karan KC,4,0,40,1,10,4,0
S Paschim vs Kathmandu - 9th Match,Rashid Khan,4,0,20,2,5,1,0
S Paschim vs Kathmandu - 9th Match,Shahab Alam,4,0,28,1,7,0,0
S Paschim vs Kathmandu - 9th Match,Nathan Sowter,3,0,34,0,11.33,0,0
S Paschim vs Kathmandu - 9th Match,Michael Levitt,3,0,32,0,10.66,1,0
S Paschim vs Kathmandu - 9th Match,Gerhard Erasmus,2,0,9,1,4.5,0,0
S Paschim vs Kathmandu - 9th Match,Scott Kuggeleijn,2,0,10,0,5,0,0
S Paschim vs Kathmandu - 9th Match,Brandon McMullen,4,0,29,1,7.25,0,0
S Paschim vs Kathmandu - 9th Match,Saif Zaib,2,0,15,1,7.5,0,0
