Team_name,Players_Name,Players_type
Biratnagar Kings,Lokesh Bam,right handed Batter
Biratnagar Kings,Basir Ahamad,left handed Batter
Biratnagar Kings,Rajesh Pulami,right handed Batter
Biratnagar Kings,Martin Guptill,right handed Batter
Biratnagar Kings,Nicholas Kirton,All Rounder
Biratnagar Kings,Aqib Ilyas,right handed Batter
Biratnagar Kings,Scott Edwards,WicketKeeper Batter
Biratnagar Kings,Jitendra Mukhiya,right-arm fast-medium Bowler
Biratnagar Kings,Anil Kharel,left-arm orthodox spin Bowler
Biratnagar Kings,Subash Bhandari,right-arm offbreak Bowler
Biratnagar Kings,Chris Sole,right-arm medium Bowler
Biratnagar Kings,Sandeep Lamichhane,legbreak googly Bowler
Biratnagar Kings,Pratis GC,All Rounder
Biratnagar Kings,Dipak Bohara,All Rounder
Biratnagar Kings,Ismat Alam,All Rounder
Biratnagar Kings,Naren Bhatta,All Rounder
Chitwan Rhinos,Sharad Vesawkar,right handed Batter
Chitwan Rhinos,Bipin Rawal,WicketKeeper Batter
Chitwan Rhinos,Santosh Karki,right handed Batter
Chitwan Rhinos,Amar Routela,right handed Batter
Chitwan Rhinos,Jan Nicol Loftie-Eaton,All Rounder
Chitwan Rhinos,Hassan Eisakhil,right handed Batter
Chitwan Rhinos,Rijan Dhakal,left-arm medium Bowler
Chitwan Rhinos,Deepak Bohara,right handed Batter
Chitwan Rhinos,Gautam KC,right-arm medium Bowler
Chitwan Rhinos,Sohail Tanvir,left-arm fast-medium Bowler
Chitwan Rhinos,Kushal Malla,All Rounder
Chitwan Rhinos,Dipesh Shrestha,right handed Batter
Chitwan Rhinos,Luc Benkenstein,All Rounder
Chitwan Rhinos,Ravi Bopara,All Rounder
Chitwan Rhinos,Ranjit Kumar,All Rounder
Chitwan Rhinos,Nar Sarki,right handed Batter
Chitwan Rhinos,Basil Hameed,All Rounder
Janakpur Bolts,Aasif Sheikh,WicketKeeper Batter
Janakpur Bolts,Anil Sah,right handed Batter
Janakpur Bolts,Aakash Tripathi,right handed Batter
Janakpur Bolts,Lahiru Milantha,WicketKeeper Batter
Janakpur Bolts,Joshua Tromp,right handed Batter
Janakpur Bolts,Shubh Kansakar,right handed Batter
Janakpur Bolts,Lalit Rajbanshi,left-arm orthodox spin Bowler
Janakpur Bolts,Sher Malla,right handed Batter
Janakpur Bolts,Hemant Dhami,right-arm medium fast Bowler
Janakpur Bolts,Tul Thapa,left-arm chinaman Bowler
Janakpur Bolts,Mohammad Mohsin,right-arm offbreak Bowler
Janakpur Bolts,Kishore Mahato,All Rounder
Janakpur Bolts,James Neesham,All Rounder
Janakpur Bolts,Arniko Yadav,left handed Batter
Janakpur Bolts,Harsh Thaker,All Rounder
Janakpur Bolts,Ben Mike,All Rounder
Janakpur Bolts,Mayan Yadav,All Rounder
Karnali Yaks,Shikhar Dhawan,left handed Batter
Karnali Yaks,Chadwick Walton,WicketKeeper Batter
Karnali Yaks,Babar Hayat,right handed Batter
Karnali Yaks,Deepak Dumre,WicketKeeper Batter
Karnali Yaks,Rit Gautam,right handed Batter
Karnali Yaks,Dev Khanal,right handed Batter
Karnali Yaks,Arjun Gharti,right handed Batter
Karnali Yaks,Jaykishan Kolsawala,left handed Batter
Karnali Yaks,Bhuvan Karki,left-arm orthodox spin Bowler
Karnali Yaks,Mousom Dhakal,right-arm offbreak Bowler
Karnali Yaks,Nandan Yadav,right-arm medium Bowler
Karnali Yaks,Bipin Sharma,left-arm orthodox spin Bowler
Karnali Yaks,William Bosisto,right-arm offbreak Bowler
Karnali Yaks,Gulsan Jha,All Rounder
Karnali Yaks,Sompal Kami,All Rounder
Karnali Yaks,Zeeshan Maqsood,All Rounder
Karnali Yaks,Paul Stirling,All Rounder
Karnali Yaks,Unish Thakuri,All Rounder
Kathmandu Gurkhas,Shankar Rana,right handed Batter
Kathmandu Gurkhas,Stephen Eskinazi,WicketKeeper Batter
Kathmandu Gurkhas,Raju Rijal,WicketKeeper Batter
Kathmandu Gurkhas,Shahab Alam,left-arm orthodox spin Bowler
Kathmandu Gurkhas,Rashid Khan,right handed Batter
Kathmandu Gurkhas,Sumit Maharjan,right-arm medium Bowler
Kathmandu Gurkhas,Nathan Sowter,right-arm leg-break Bowler
Kathmandu Gurkhas,Michael Levitt,All Rounder
Kathmandu Gurkhas,Gerhard Erasmus,All Rounder
Kathmandu Gurkhas,Karan KC,All Rounder
Kathmandu Gurkhas,Bhim Sharki,All Rounder
Kathmandu Gurkhas,Dipesh Kandel,All Rounder
Kathmandu Gurkhas,Krishna Karki,All Rounder
Kathmandu Gurkhas,Dan Douthwaite,All Rounder
Kathmandu Gurkhas,Pratik Shrestha,All Rounder
Lumbini Lions,Sundeep Jora,right handed Batter
Lumbini Lions,Tilak Bhandari,WicketKeeper Batter
Lumbini Lions,Arjun saud,WicketKeeper Batter
Lumbini Lions,Unmukt Chand,right handed Batter
Lumbini Lions,Tom Moores,WicketKeeper Batter
Lumbini Lions,Surya Tamang,left-arm orthodox spin Bowler
Lumbini Lions,Durgesh Gupta,right-arm medium Bowler
Lumbini Lions,Dinesh Adhikari,right-arm medium Bowler
Lumbini Lions,Ramon Simmonds,left-arm fast-medium Bowler
Lumbini Lions,Rohit Paudel,All Rounder
Lumbini Lions,Bibek Yadav,All Rounder
Lumbini Lions,Ben Cutting,All Rounder
Lumbini Lions,Saad Bin Zafar,All Rounder
Lumbini Lions,Ashutosh Ghiraiya,right handed Batter
Lumbini Lions,Abhishesh Gautam,right handed Batter
Pokhara Avengers,Kushal Bhurtel,right handed Batter
Pokhara Avengers,Dilip Nath,left handed Batter
Pokhara Avengers,Bas de Leede,All Rounder
Pokhara Avengers,Andries Gous,WicketKeeper Batter
Pokhara Avengers,Kiran Thagunna,right handed Batter
Pokhara Avengers,Sagar Dhakal,left-arm orthodox spin Bowler
Pokhara Avengers,Aakash Chand,right-arm medium Bowler
Pokhara Avengers,Sudip Aryal,right handed Batter
Pokhara Avengers,Narayan Joshi,All Rounder
Pokhara Avengers,Bipin Khatri,All Rounder
Pokhara Avengers,Sunam Gautam,right handed Batter
Pokhara Avengers,Matt Critchley,All Rounder
Pokhara Avengers,Raymon Reifer,All Rounder
Pokhara Avengers,Michael Leask,All Rounder
Pokhara Avengers,Zen Malik,All Rounder
Pokhara Avengers,Dinesh Kharel,All Rounder
Pokhara Avengers,Trit Raj Das,All Rounder
Pokhara Avengers,Aakarshit Gomel,All Rounder
Sudurpaschim Royals,Dipendra Singh Airee,right handed Batter
Sudurpaschim Royals,Aarif Sheikh,right handed Batter
Sudurpaschim Royals,Binod Bhandari,WicketKeeper Batter
Sudurpaschim Royals,Ishan Pandey,left handed Batter
Sudurpaschim Royals,Arjun Kumal,right handed Batter
Sudurpaschim Royals,Khadak Bohara,right handed Batter
Sudurpaschim Royals,Naresh Budayair,right handed Batter
Sudurpaschim Royals,Amit Shrestha,right handed Batter
Sudurpaschim Royals,Abinash Bohara,right-arm medium Bowler
Sudurpaschim Royals,Rohan Mustafa,All Rounder
Sudurpaschim Royals,Scott Kuggeleijn,All Rounder
Sudurpaschim Royals,Saif Zaib,All Rounder
Sudurpaschim Royals,Brandon McMullen,All Rounder
Sudurpaschim Royals,Naren Saud,All Rounder
Sudurpaschim Royals,Basant Khatri,All Rounder
Sudurpaschim Royals,Dilpreet Bajwa,All Rounder
Sudurpaschim Royals,Harmeet Singh,All Rounder
