Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,SR,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Anil Kharel,Left-Arm Orthodox Spin Bowler,3,T, Janakpur - 1st ,7,7,1,0,100,T,1,0,11,0,11,0,0
Anil Kharel,Left-Arm Orthodox Spin Bowler,3,T, Kathmandu - 26th ,0,1,0,0,0,T,4,0,28,2,7,0,0
Anil Kharel,Left-Arm Orthodox Spin Bowler,3,F, Pokhara - 20th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Anil Kharel,Left-Arm Orthodox Spin Bowler,3,F,Lumbini - 7th ,0,0,0,0,0,T,2,0,29,0,14.5,0,0
Anil Kharel,Left-Arm Orthodox Spin Bowler,3,T,S Paschim - 4th ,10,11,1,0,90.91,T,4,0,26,3,6.5,1,0
Aqib Ilyas,Right Handed Batter,2,T, Janakpur - 1st ,15,18,1,0,83.33,T,3,0,19,0,6.33,0,0
Aqib Ilyas,Right Handed Batter,2,T,Karnali - 13th ,8,14,2,0,57.14,T,4,0,31,1,7.75,0,0
Basir Ahamad,Left Handed Batter,7,T, Chitwan - 23rd ,68,44,4,4,154.55,T,4,1,19,1,4.75,0,0
Basir Ahamad,Left Handed Batter,7,T, Janakpur - 1st ,7,9,0,0,77.78,F,0,0,0,0,0,0,0
Basir Ahamad,Left Handed Batter,7,T, Kathmandu - 26th ,13,13,0,1,100,T,4,0,27,2,6.75,0,0
Basir Ahamad,Left Handed Batter,7,T, Pokhara - 20th ,21,20,0,1,105,F,0,0,0,0,0,0,0
Basir Ahamad,Left Handed Batter,7,T,Karnali - 13th ,8,10,1,0,80,T,4,0,22,2,5.5,1,0
Basir Ahamad,Left Handed Batter,7,T,Lumbini - 7th ,40,23,4,1,173.91,T,3,0,28,0,9.33,0,0
Basir Ahamad,Left Handed Batter,7,T,S Paschim - 4th ,24,28,2,0,85.71,T,1,0,9,1,9,0,0
Chris Sole,Right-Arm Medium Bowler,6,F, Chitwan - 23rd ,0,0,0,0,0,T,4,0,22,1,5.5,3,0
Chris Sole,Right-Arm Medium Bowler,6,T, Janakpur - 1st ,4,5,0,0,80,T,3,0,31,1,10.33,6,0
Chris Sole,Right-Arm Medium Bowler,6,T, Kathmandu - 26th ,1,3,0,0,33.33,T,4,0,21,2,5.25,4,0
Chris Sole,Right-Arm Medium Bowler,6,T, Pokhara - 20th ,7,5,0,1,140,F,0,0,0,0,0,0,0
Chris Sole,Right-Arm Medium Bowler,6,T,Karnali - 13th ,0,3,0,0,0,T,4,0,25,2,6.25,1,0
Chris Sole,Right-Arm Medium Bowler,6,T,Lumbini - 7th ,14,4,2,1,350,T,4,0,34,0,8.5,3,0
Chris Sole,Right-Arm Medium Bowler,6,T,S Paschim - 4th ,9,7,0,1,128.57,T,4,0,37,1,9.25,2,0
Dipak Bohara,All Rounder,6,T, Chitwan - 23rd ,4,3,1,0,133.33,F,0,0,0,0,0,0,0
Dipak Bohara,All Rounder,6,T, Kathmandu - 26th ,20,24,2,0,83.33,F,0,0,0,0,0,0,0
Dipak Bohara,All Rounder,6,T, Pokhara - 20th ,4,2,1,0,200,F,0,0,0,0,0,0,0
Dipak Bohara,All Rounder,6,T,Karnali - 13th ,18,13,0,1,138.46,F,0,0,0,0,0,0,0
Dipak Bohara,All Rounder,6,T,Lumbini - 7th ,9,8,0,0,112.5,F,0,0,0,0,0,0,0
Dipak Bohara,All Rounder,6,T,S Paschim - 4th ,5,6,0,0,83.33,F,0,0,0,0,0,0,0
Ismat Alam,All Rounder,3,T, Kathmandu - 26th ,5,13,0,0,38.46,T,2,0,16,0,8,0,0
Ismat Alam,All Rounder,3,T,Lumbini - 7th ,0,3,0,0,0,T,2,0,21,1,10.5,1,0
Ismat Alam,All Rounder,3,T,S Paschim - 4th ,6,4,1,0,150,T,3,0,35,1,11.67,1,0
Jitendra Mukhiya,Right-Arm Fast-Medium Bowler,1,T, Janakpur - 1st ,0,1,0,0,0,T,2,0,12,0,6,1,0
Lokesh Bam,Right Handed Batter,7,T, Chitwan - 23rd ,0,2,0,0,0,T,1,0,8,1,8,0,0
Lokesh Bam,Right Handed Batter,7,T, Janakpur - 1st ,5,6,1,0,83.33,F,0,0,0,0,0,0,0
Lokesh Bam,Right Handed Batter,7,T, Kathmandu - 26th ,8,9,1,0,88.89,F,0,0,0,0,0,0,0
Lokesh Bam,Right Handed Batter,7,T, Pokhara - 20th ,26,16,2,2,162.5,F,0,0,0,0,0,0,0
Lokesh Bam,Right Handed Batter,7,T,Karnali - 13th ,19,9,1,2,211.11,F,0,0,0,0,0,0,0
Lokesh Bam,Right Handed Batter,7,T,Lumbini - 7th ,71,47,3,6,151.06,F,0,0,0,0,0,0,0
Lokesh Bam,Right Handed Batter,7,T,S Paschim - 4th ,2,7,0,0,28.57,F,0,0,0,0,0,0,0
Martin Guptill,Right Handed Batter,7,T, Chitwan - 23rd ,45,35,1,4,128.57,F,0,0,0,0,0,0,0
Martin Guptill,Right Handed Batter,7,T, Janakpur - 1st ,55,43,7,1,127.91,F,0,0,0,0,0,0,0
Martin Guptill,Right Handed Batter,7,T, Pokhara - 20th ,2,4,0,0,50,F,0,0,0,0,0,0,0
Martin Guptill,Right Handed Batter,7,T, Pokhara - 20th ,5,14,0,0,35.71,F,0,0,0,0,0,0,0
Martin Guptill,Right Handed Batter,7,T,Karnali - 13th ,4,4,1,0,100,F,0,0,0,0,0,0,0
Martin Guptill,Right Handed Batter,7,T,Lumbini - 7th ,28,17,6,0,164.71,F,0,0,0,0,0,0,0
Martin Guptill,Right Handed Batter,7,T,S Paschim - 4th ,0,1,0,0,0,F,0,0,0,0,0,0,0
Naren Bhatta,All Rounder,2,T, Pokhara - 20th ,4,11,0,0,36.36,F,0,0,0,0,0,0,0
