"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Amar Routela","right handed Batter",6,"Biratnagar vs Chitwan - 23rd Match",42,29,3,2,"144.82","1",0,24,0,"24",0,3
"Amar Routela","right handed Batter",6,"Chitwan vs Janakpur - 25th Match",NULL,NULL,NULL,NULL,NULL,"2",0,11,1,"5.5",0,1
"Amar Routela","right handed Batter",6,"Chitwan vs Karnali - 10th Match",9,8,0,1,"112.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Amar Routela","right handed Batter",6,"Chitwan vs Pokhara - 5th Match",13,6,0,1,"216.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Amar Routela","right handed Batter",6,"Chitwan vs S Paschim - 15th Match",6,3,1,0,"200","1",0,9,2,"9",0,0
"Amar Routela","right handed Batter",6,"Karnali vs Chitwan - Eliminator",9,5,0,1,"180","3",0,17,0,"5.66",0,0
"Amar Routela","right handed Batter",6,"Kathmandu vs Chitwan - 2nd Match",NULL,NULL,NULL,NULL,NULL,"2",0,9,1,"4.5",0,0
"Amar Routela","right handed Batter",6,"Lumbini vs Chitwan - 16th Match",6,6,1,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Basil Hameed","All Rounder",2,"Biratnagar vs Chitwan - 23rd Match",1,3,0,0,"33.33","4",0,15,1,"3.75",0,0
"Basil Hameed","All Rounder",2,"Chitwan vs Janakpur - 25th Match",2,3,0,0,"66.66","2",0,38,0,"19",0,0
"Bipin Rawal","WicketKeeper Batter",5,"Biratnagar vs Chitwan - 23rd Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Rawal","WicketKeeper Batter",5,"Chitwan vs Janakpur - 25th Match",3,10,0,0,"30",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Rawal","WicketKeeper Batter",5,"Chitwan vs Karnali - 10th Match",11,15,1,0,"73.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Rawal","WicketKeeper Batter",5,"Chitwan vs Pokhara - 5th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Rawal","WicketKeeper Batter",5,"Chitwan vs S Paschim - 15th Match",17,20,2,0,"85",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Rawal","WicketKeeper Batter",5,"Karnali vs Chitwan - Eliminator",18,10,4,0,"180",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Rawal","WicketKeeper Batter",5,"Kathmandu vs Chitwan - 2nd Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Rawal","WicketKeeper Batter",5,"Lumbini vs Chitwan - 16th Match",5,9,0,0,"55.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Deepak Bohara","right handed Batter",4,"Biratnagar vs Chitwan - 23rd Match",2,6,0,0,"33.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Deepak Bohara","right handed Batter",4,"Chitwan vs Janakpur - 25th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Deepak Bohara","right handed Batter",4,"Chitwan vs Karnali - 10th Match",8,8,1,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Deepak Bohara","right handed Batter",4,"Chitwan vs Pokhara - 5th Match",2,4,0,0,"50","1.2",0,9,1,"6.75",0,0
"Deepak Bohara","right handed Batter",4,"Chitwan vs S Paschim - 15th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Deepak Bohara","right handed Batter",4,"Kathmandu vs Chitwan - 2nd Match",7,7,0,1,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hassan Eisakhil","right handed Batter",6,"Biratnagar vs Chitwan - 23rd Match",5,6,1,0,"83.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hassan Eisakhil","right handed Batter",6,"Chitwan vs Janakpur - 25th Match",28,19,4,1,"147.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hassan Eisakhil","right handed Batter",6,"Chitwan vs Pokhara - 5th Match",14,10,1,1,"140",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hassan Eisakhil","right handed Batter",6,"Chitwan vs S Paschim - 15th Match",65,52,6,3,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hassan Eisakhil","right handed Batter",6,"Karnali vs Chitwan - Eliminator",1,2,0,0,"50",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hassan Eisakhil","right handed Batter",6,"Kathmandu vs Chitwan - 2nd Match",12,7,1,1,"171.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jan Nicol Loftie-Eaton","All Rounder",3,"Chitwan vs Karnali - 10th Match",9,12,1,0,"75","3",0,16,1,"5.33",0,0
"Jan Nicol Loftie-Eaton","All Rounder",3,"Chitwan vs S Paschim - 15th Match",2,4,0,0,"50","3",0,18,2,"6",1,0
"Jan Nicol Loftie-Eaton","All Rounder",3,"Lumbini vs Chitwan - 16th Match",6,7,1,0,"85.71","2",0,22,0,"11",0,0
"Kushal Malla","All Rounder",8,"Biratnagar vs Chitwan - 23rd Match",25,25,2,1,"100","4",0,28,1,"7",0,0
"Kushal Malla","All Rounder",8,"Chitwan vs Janakpur - 25th Match",72,41,3,7,"175.6","4",0,26,2,"6.5",1,0
"Kushal Malla","All Rounder",8,"Chitwan vs Karnali - 10th Match",23,27,2,1,"85.18","4",0,13,1,"3.25",0,0
"Kushal Malla","All Rounder",8,"Chitwan vs Pokhara - 5th Match",38,23,1,4,"165.21","2",0,11,0,"5.5",0,0
"Kushal Malla","All Rounder",8,"Chitwan vs S Paschim - 15th Match",13,16,1,0,"81.25","4",0,18,2,"4.5",0,0
"Kushal Malla","All Rounder",8,"Karnali vs Chitwan - Eliminator",21,24,0,1,"87.5","2",0,21,1,"10.5",0,0
"Kushal Malla","All Rounder",8,"Kathmandu vs Chitwan - 2nd Match",11,11,1,0,"100","3",0,17,1,"5.66",0,0
"Kushal Malla","All Rounder",8,"Lumbini vs Chitwan - 16th Match",20,17,1,1,"117.64","4",0,42,1,"10.5",0,0
"Luc Benkenstein","All Rounder",5,"Chitwan vs Karnali - 10th Match",0,5,0,0,"0","1",0,17,0,"17",2,0
