Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Amar Routela,Right Handed Batter,6,T,Biratnagar   - 23rd ,42,29,3,2,144.83,T,1,0,24,0,24,0,3
Amar Routela,Right Handed Batter,6,F,  Janakpur - 25th ,0,0,0,0,0,T,2,0,11,1,5.5,0,1
Amar Routela,Right Handed Batter,6,T,  Karnali - 10th ,9,8,0,1,112.5,F,0,0,0,0,0,0,0
Amar Routela,Right Handed Batter,6,T,  Pokhara - 5th ,13,6,0,1,216.67,F,0,0,0,0,0,0,0
Amar Routela,Right Handed Batter,6,T,  S Paschim - 15th ,6,3,1,0,200,T,1,0,9,2,9,0,0
Amar Routela,Right Handed Batter,6,T,Karnali   - Eliminator,9,5,0,1,180,T,3,0,17,0,5.67,0,0
Amar Routela,Right Handed Batter,6,F,Kathmandu   - 2nd ,0,0,0,0,0,T,2,0,9,1,4.5,0,0
Amar Routela,Right Handed Batter,6,T,Lumbini   - 16th ,6,6,1,0,100,F,0,0,0,0,0,0,0
Basil Hameed,All Rounder,2,T,Biratnagar   - 23rd ,1,3,0,0,33.33,T,4,0,15,1,3.75,0,0
Basil Hameed,All Rounder,2,T,  Janakpur - 25th ,2,3,0,0,66.67,T,2,0,38,0,19,0,0
Bipin Rawal,Wicketkeeper Batter,5,F,Biratnagar   - 23rd ,0,0,0,0,0,F,0,0,0,0,0,0,0
Bipin Rawal,Wicketkeeper Batter,5,T,  Janakpur - 25th ,3,10,0,0,30,F,0,0,0,0,0,0,0
Bipin Rawal,Wicketkeeper Batter,5,T,  Karnali - 10th ,11,15,1,0,73.33,F,0,0,0,0,0,0,0
Bipin Rawal,Wicketkeeper Batter,5,F,  Pokhara - 5th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Bipin Rawal,Wicketkeeper Batter,5,T,  S Paschim - 15th ,17,20,2,0,85,F,0,0,0,0,0,0,0
Bipin Rawal,Wicketkeeper Batter,5,T,Karnali   - Eliminator,18,10,4,0,180,F,0,0,0,0,0,0,0
Bipin Rawal,Wicketkeeper Batter,5,F,Kathmandu   - 2nd ,0,0,0,0,0,F,0,0,0,0,0,0,0
Bipin Rawal,Wicketkeeper Batter,5,T,Lumbini   - 16th ,5,9,0,0,55.56,F,0,0,0,0,0,0,0
Deepak Bohara,Right Handed Batter,4,T,Biratnagar   - 23rd ,2,6,0,0,33.33,F,0,0,0,0,0,0,0
Deepak Bohara,Right Handed Batter,4,F,  Janakpur - 25th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Deepak Bohara,Right Handed Batter,4,T,  Karnali - 10th ,8,8,1,0,100,F,0,0,0,0,0,0,0
Deepak Bohara,Right Handed Batter,4,T,  Pokhara - 5th ,2,4,0,0,50,T,1.2,0,9,1,7.5,0,0
Deepak Bohara,Right Handed Batter,4,F,  S Paschim - 15th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Deepak Bohara,Right Handed Batter,4,T,Kathmandu   - 2nd ,7,7,0,1,100,F,0,0,0,0,0,0,0
Hassan Eisakhil,Right Handed Batter,6,T,Biratnagar   - 23rd ,5,6,1,0,83.33,F,0,0,0,0,0,0,0
Hassan Eisakhil,Right Handed Batter,6,T,  Janakpur - 25th ,28,19,4,1,147.37,F,0,0,0,0,0,0,0
Hassan Eisakhil,Right Handed Batter,6,T,  Pokhara - 5th ,14,10,1,1,140,F,0,0,0,0,0,0,0
Hassan Eisakhil,Right Handed Batter,6,T,  S Paschim - 15th ,65,52,6,3,125,F,0,0,0,0,0,0,0
Hassan Eisakhil,Right Handed Batter,6,T,Karnali   - Eliminator,1,2,0,0,50,F,0,0,0,0,0,0,0
Hassan Eisakhil,Right Handed Batter,6,T,Kathmandu   - 2nd ,12,7,1,1,171.43,F,0,0,0,0,0,0,0
Jan Nicol Loftie-Eaton,All Rounder,3,T,  Karnali - 10th ,9,12,1,0,75,T,3,0,16,1,5.33,0,0
Jan Nicol Loftie-Eaton,All Rounder,3,T,  S Paschim - 15th ,2,4,0,0,50,T,3,0,18,2,6,1,0
Jan Nicol Loftie-Eaton,All Rounder,3,T,Lumbini   - 16th ,6,7,1,0,85.71,T,2,0,22,0,11,0,0
Kushal Malla,All Rounder,8,T,Biratnagar   - 23rd ,25,25,2,1,100,T,4,0,28,1,7,0,0
Kushal Malla,All Rounder,8,T,  Janakpur - 25th ,72,41,3,7,175.61,T,4,0,26,2,6.5,1,0
Kushal Malla,All Rounder,8,T,  Karnali - 10th ,23,27,2,1,85.19,T,4,0,13,1,3.25,0,0
Kushal Malla,All Rounder,8,T,  Pokhara - 5th ,38,23,1,4,165.22,T,2,0,11,0,5.5,0,0
Kushal Malla,All Rounder,8,T,  S Paschim - 15th ,13,16,1,0,81.25,T,4,0,18,2,4.5,0,0
Kushal Malla,All Rounder,8,T,Karnali   - Eliminator,21,24,0,1,87.5,T,2,0,21,1,10.5,0,0
Kushal Malla,All Rounder,8,T,Kathmandu   - 2nd ,11,11,1,0,100,T,3,0,17,1,5.67,0,0
Kushal Malla,All Rounder,8,T,Lumbini   - 16th ,20,17,1,1,117.65,T,4,0,42,1,10.5,0,0
Luc Benkenstein,All Rounder,5,T,  Karnali - 10th ,0,5,0,0,0,T,1,0,17,0,17,2,0
Luc Benkenstein,All Rounder,5,T,  Pokhara - 5th ,16,13,1,2,123.08,T,4,0,37,3,9.25,5,0
Luc Benkenstein,All Rounder,5,T,Karnali   - Eliminator,16,13,1,1,123.08,F,0,0,0,0,0,0,0
Luc Benkenstein,All Rounder,5,T,Kathmandu   - 2nd ,22,17,1,2,129.41,T,3,0,14,1,4.67,0,0
Luc Benkenstein,All Rounder,5,T,Lumbini   - 16th ,31,29,3,1,106.9,F,0,0,0,0,0,0,0
Nar Sarki,Right Handed Batter,1,T,Lumbini   - 16th ,22,12,1,1,183.33,T,2,0,18,0,9,0,0
Ranjit Kumar,All Rounder,1,F,Biratnagar   - 23rd ,0,0,0,0,0,T,3,0,30,0,10,1,0
Ranjit Kumar,All Rounder,1,F,  Janakpur - 25th ,0,0,0,0,0,T,2,0,16,0,8,0,0
Ranjit Kumar,All Rounder,1,F,  S Paschim - 15th ,0,0,0,0,0,T,4,0,30,1,7.5,1,0
Ranjit Kumar,All Rounder,1,T,Karnali   - Eliminator,0,0,0,0,0,T,1,0,18,0,18,0,0
Ranjit Kumar,All Rounder,1,F,Lumbini   - 16th ,0,0,0,0,0,T,4,0,26,1,6.5,0,0
Ravi Bopara,All Rounder,8,T,Biratnagar   - 23rd ,20,24,2,0,83.33,F,0,0,0,0,0,0,0
Ravi Bopara,All Rounder,8,T,  Janakpur - 25th ,44,32,5,1,137.5,T,1,0,13,0,13,0,0
Ravi Bopara,All Rounder,8,T,  Karnali - 10th ,59,40,7,1,147.5,T,2,0,14,1,7,1,0
Ravi Bopara,All Rounder,8,T,  Pokhara - 5th ,51,38,3,3,134.21,F,0,0,0,0,0,0,0
Ravi Bopara,All Rounder,8,T,  S Paschim - 15th ,36,18,2,2,200,F,0,0,0,0,0,0,0
Ravi Bopara,All Rounder,8,T,Karnali   - Eliminator,53,34,3,4,155.88,T,2,0,8,1,4,0,0
Ravi Bopara,All Rounder,8,T,Kathmandu   - 2nd ,11,9,2,0,122.22,T,4,0,23,0,5.75,2,0
Ravi Bopara,All Rounder,8,T,Lumbini   - 16th ,12,16,0,0,75,F,0,0,0,0,0,0,0
Rijan Dhakal,Left-Arm Medium Bowler,2,F,Biratnagar   - 23rd ,0,0,0,0,0,T,4,0,40,2,10,2,0
Rijan Dhakal,Left-Arm Medium Bowler,2,F,  Janakpur - 25th ,0,0,0,0,0,T,3,0,19,2,6.33,0,0
Rijan Dhakal,Left-Arm Medium Bowler,2,F,  Karnali - 10th ,0,0,0,0,0,T,3.5,0,35,0,10,2,0
Rijan Dhakal,Left-Arm Medium Bowler,2,F,  Pokhara - 5th ,0,0,0,0,0,T,3,1,10,3,3.33,0,0
Rijan Dhakal,Left-Arm Medium Bowler,2,F,  S Paschim - 15th ,0,0,0,0,0,T,3,0,33,2,11,1,0
Rijan Dhakal,Left-Arm Medium Bowler,2,T,Karnali   - Eliminator,7,4,1,0,175,T,4,0,44,0,11,0,0
Rijan Dhakal,Left-Arm Medium Bowler,2,F,Kathmandu   - 2nd ,0,0,0,0,0,T,4,0,22,1,5.5,0,0
Rijan Dhakal,Left-Arm Medium Bowler,2,T,Lumbini   - 16th ,15,14,1,0,107.14,T,4,0,29,3,7.25,0,1
Santosh Karki,Right Handed Batter,7,T,Biratnagar   - 23rd ,28,25,3,1,112,F,0,0,0,0,0,0,0
Santosh Karki,Right Handed Batter,7,T,  Janakpur - 25th ,14,12,0,1,116.67,F,0,0,0,0,0,0,0
Santosh Karki,Right Handed Batter,7,F,  Karnali - 10th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Santosh Karki,Right Handed Batter,7,T,  Pokhara - 5th ,11,13,0,0,84.62,F,0,0,0,0,0,0,0
Santosh Karki,Right Handed Batter,7,T,  S Paschim - 15th ,9,7,1,0,128.57,F,0,0,0,0,0,0,0
Santosh Karki,Right Handed Batter,7,T,Karnali   - Eliminator,8,15,0,0,53.33,F,0,0,0,0,0,0,0
Santosh Karki,Right Handed Batter,7,T,Kathmandu   - 2nd ,28,31,2,1,90.32,F,0,0,0,0,0,0,0
Santosh Karki,Right Handed Batter,7,T,Lumbini   - 16th ,10,8,2,0,125,F,0,0,0,0,0,0,0
Sharad Vesawkar,Right Handed Batter,4,T,  Karnali - 10th ,6,3,1,0,200,T,2,0,16,0,8,0,0
Sharad Vesawkar,Right Handed Batter,4,T,  Pokhara - 5th ,11,12,0,0,91.67,F,0,0,0,0,0,0,0
Sharad Vesawkar,Right Handed Batter,4,T,Karnali   - Eliminator,10,10,1,0,100,T,4,0,37,1,9.25,0,0
Sharad Vesawkar,Right Handed Batter,4,T,Kathmandu   - 2nd ,11,21,0,0,52.38,F,0,0,0,0,0,0,0
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,T,Biratnagar   - 23rd ,1,2,0,0,50,T,4,0,33,1,8.25,1,0
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,T,  Janakpur - 25th ,5,3,1,0,166.67,T,4,0,23,2,5.75,2,1
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,T,  Karnali - 10th ,0,2,0,0,0,T,4,0,18,0,4.5,1,0
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,T,  Pokhara - 5th ,0,1,0,0,0,T,3,1,6,3,2,0,0
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,F,  S Paschim - 15th ,0,0,0,0,0,T,3.2,0,22,1,6.88,2,1
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,T,Karnali   - Eliminator,4,3,1,0,133.33,T,4,0,24,2,6,0,1
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,F,Kathmandu   - 2nd ,0,0,0,0,0,T,4,0,21,5,5.25,0,0
Sohail Tanvir,Left-Arm Fast-Medium Bowler,6,T,Lumbini   - 16th ,1,2,0,0,50,T,4,0,27,0,6.75,1,0
