"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Aakash Tripathi","right handed Batter",3,"Janakpur vs S Paschim - Qualifier 1",4,4,0,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aakash Tripathi","right handed Batter",3,"Karnali vs Janakpur - Qualifier 2",13,20,1,0,"65",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aakash Tripathi","right handed Batter",3,"S Paschim vs Janakpur - Final",2,6,0,0,"33.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Biratnagar vs Janakpur - 1st Match",0,3,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Chitwan vs Janakpur - 25th Match",23,26,4,0,"88.46",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Janakpur vs Lumbini - 14th Match",16,10,2,1,"160",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Janakpur vs S Paschim - Qualifier 1",11,10,2,0,"110",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Karnali vs Janakpur - 3rd Match",36,29,2,2,"124.13",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Karnali vs Janakpur - Qualifier 2",4,6,0,0,"66.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Kathmandu vs Janakpur - 21st Match",2,9,0,0,"22.22",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"Pokhara vs Janakpur - 8th Match",33,34,3,0,"97.05",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"S Paschim vs Janakpur - 18th Match",4,5,0,0,"80",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aasif Sheikh","WicketKeeper Batter",10,"S Paschim vs Janakpur - Final",33,19,4,2,"173.68",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Sah","right handed Batter",7,"Biratnagar vs Janakpur - 1st Match",5,4,0,0,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Sah","right handed Batter",7,"Chitwan vs Janakpur - 25th Match",8,6,2,0,"133.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Sah","right handed Batter",7,"Janakpur vs Lumbini - 14th Match",45,39,1,4,"115.38",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Sah","right handed Batter",7,"Karnali vs Janakpur - 3rd Match",62,42,6,3,"147.61",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Sah","right handed Batter",7,"Kathmandu vs Janakpur - 21st Match",11,10,1,0,"110",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Sah","right handed Batter",7,"Pokhara vs Janakpur - 8th Match",1,3,0,0,"33.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Sah","right handed Batter",7,"S Paschim vs Janakpur - 18th Match",0,7,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arniko Yadav","left handed Batter",3,"Biratnagar vs Janakpur - 1st Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arniko Yadav","left handed Batter",3,"Chitwan vs Janakpur - 25th Match",0,0,0,0,"-","1",0,20,0,"20",2,0
"Arniko Yadav","left handed Batter",3,"Janakpur vs S Paschim - Qualifier 1",11,20,0,0,"55",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arniko Yadav","left handed Batter",3,"Kathmandu vs Janakpur - 21st Match",NULL,NULL,NULL,NULL,NULL,"4",0,33,1,"8.25",1,0
"Arniko Yadav","left handed Batter",3,"S Paschim vs Janakpur - 18th Match",1,4,0,0,"25","3",0,16,2,"5.33",3,0
"Ben Mike","All Rounder",0,"Biratnagar vs Janakpur - 1st Match",NULL,NULL,NULL,NULL,NULL,"3",0,29,1,"9.66",4,0
"Harsh Thaker","All Rounder",9,"Biratnagar vs Janakpur - 1st Match",29,33,2,0,"87.87","4",0,22,2,"5.5",0,0
"Harsh Thaker","All Rounder",9,"Chitwan vs Janakpur - 25th Match",6,6,1,0,"100","4",0,27,1,"6.75",1,0
"Harsh Thaker","All Rounder",9,"Janakpur vs Lumbini - 14th Match",1,3,0,0,"33.33","4",0,23,5,"5.75",0,0
"Harsh Thaker","All Rounder",9,"Janakpur vs S Paschim - Qualifier 1",12,14,1,0,"85.71","2",0,11,0,"5.5",0,0
"Harsh Thaker","All Rounder",9,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,"4",0,45,1,"11.25",0,0
"Harsh Thaker","All Rounder",9,"Karnali vs Janakpur - Qualifier 2",17,26,2,0,"65.38","4",0,13,1,"3.25",0,0
"Harsh Thaker","All Rounder",9,"Kathmandu vs Janakpur - 21st Match",25,25,1,1,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Harsh Thaker","All Rounder",9,"Pokhara vs Janakpur - 8th Match",13,14,1,0,"92.85","3",0,14,0,"4.66",1,0
"Harsh Thaker","All Rounder",9,"S Paschim vs Janakpur - 18th Match",5,2,1,0,"250","3",1,9,1,"3",0,0
"Harsh Thaker","All Rounder",9,"S Paschim vs Janakpur - Final",30,24,0,2,"125","3",1,33,0,"11",0,0
"Hemant Dhami","right-arm medium fast Bowler",1,"Janakpur vs Lumbini - 14th Match",9,11,1,0,"81.81",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hemant Dhami","right-arm medium fast Bowler",1,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"James Neesham","All Rounder",9,"Chitwan vs Janakpur - 25th Match",65,24,5,6,"270.83","3",0,37,1,"12.33",0,0
"James Neesham","All Rounder",9,"Janakpur vs Lumbini - 14th Match",1,2,0,0,"50","1",0,9,0,"9",0,0
"James Neesham","All Rounder",9,"Janakpur vs S Paschim - Qualifier 1",45,23,3,3,"195.65","3",0,25,0,"8.33",2,0
"James Neesham","All Rounder",9,"Karnali vs Janakpur - 3rd Match",16,8,2,1,"200","4",0,37,1,"9.25",0,0
"James Neesham","All Rounder",9,"Karnali vs Janakpur - Qualifier 2",45,17,2,5,"264.7","4",0,30,2,"7.5",1,0
