Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Aakash Tripathi,Right Handed Batter,3, T,  S Paschim - Qualifier 1,4,4,0,0,100, F,0,0,0,0,0,0,0
Aakash Tripathi,Right Handed Batter,3, T,Karnali   - Qualifier 2,13,20,1,0,65, F,0,0,0,0,0,0,0
Aakash Tripathi,Right Handed Batter,3, T,S Paschim   - Final,2,6,0,0,33.33, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,Biratnagar   - 1st ,0,3,0,0,0, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,Chitwan   - 25th ,23,26,4,0,88.46, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,  Lumbini - 14th ,16,10,2,1,160, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,  S Paschim - Qualifier 1,11,10,2,0,110, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,Karnali   - 3rd ,36,29,2,2,124.14, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,Karnali   - Qualifier 2,4,6,0,0,66.67, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,Kathmandu   - 21st ,2,9,0,0,22.22, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,Pokhara   - 8th ,33,34,3,0,97.06, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,S Paschim   - 18th ,4,5,0,0,80, F,0,0,0,0,0,0,0
Aasif Sheikh,Wicketkeeper Batter,10, T,S Paschim   - Final,33,19,4,2,173.68, F,0,0,0,0,0,0,0
Anil Sah,Right Handed Batter,7, T,Biratnagar   - 1st ,5,4,0,0,125, F,0,0,0,0,0,0,0
Anil Sah,Right Handed Batter,7, T,Chitwan   - 25th ,8,6,2,0,133.33, F,0,0,0,0,0,0,0
Anil Sah,Right Handed Batter,7, T,  Lumbini - 14th ,45,39,1,4,115.38, F,0,0,0,0,0,0,0
Anil Sah,Right Handed Batter,7, T,Karnali   - 3rd ,62,42,6,3,147.62, F,0,0,0,0,0,0,0
Anil Sah,Right Handed Batter,7, T,Kathmandu   - 21st ,11,10,1,0,110, F,0,0,0,0,0,0,0
Anil Sah,Right Handed Batter,7, T,Pokhara   - 8th ,1,3,0,0,33.33, F,0,0,0,0,0,0,0
Anil Sah,Right Handed Batter,7, T,S Paschim   - 18th ,0,7,0,0,0, F,0,0,0,0,0,0,0
Arniko Yadav,Left Handed Batter,3, F,Biratnagar   - 1st ,0,0,0,0,0, F,0,0,0,0,0,0,0
Arniko Yadav,Left Handed Batter,3, T,Chitwan   - 25th ,0,0,0,0,0, T,1,0,20,0,20,2,0
Arniko Yadav,Left Handed Batter,3, T,  S Paschim - Qualifier 1,11,20,0,0,55, F,0,0,0,0,0,0,0
Arniko Yadav,Left Handed Batter,3, F,Kathmandu   - 21st ,0,0,0,0,0, T,4,0,33,1,8.25,1,0
Arniko Yadav,Left Handed Batter,3, T,S Paschim   - 18th ,1,4,0,0,25, T,3,0,16,2,5.33,3,0
Ben Mike,All Rounder,0, F,Biratnagar   - 1st ,0,0,0,0,0, T,3,0,29,1,9.67,4,0
Harsh Thaker,All Rounder,9, T,Biratnagar   - 1st ,29,33,2,0,87.88, T,4,0,22,2,5.5,0,0
Harsh Thaker,All Rounder,9, T,Chitwan   - 25th ,6,6,1,0,100, T,4,0,27,1,6.75,1,0
Harsh Thaker,All Rounder,9, T,  Lumbini - 14th ,1,3,0,0,33.33, T,4,0,23,5,5.75,0,0
Harsh Thaker,All Rounder,9, T,  S Paschim - Qualifier 1,12,14,1,0,85.71, T,2,0,11,0,5.5,0,0
Harsh Thaker,All Rounder,9, F,Karnali   - 3rd ,0,0,0,0,0, T,4,0,45,1,11.25,0,0
Harsh Thaker,All Rounder,9, T,Karnali   - Qualifier 2,17,26,2,0,65.38, T,4,0,13,1,3.25,0,0
Harsh Thaker,All Rounder,9, T,Kathmandu   - 21st ,25,25,1,1,100, F,0,0,0,0,0,0,0
Harsh Thaker,All Rounder,9, T,Pokhara   - 8th ,13,14,1,0,92.86, T,3,0,14,0,4.67,1,0
