"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Arjun Gharti","right handed Batter",7,"Chitwan vs Karnali - 10th Match",11,10,0,0,"110",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Karnali vs Biratnagar - 13th Match",1,4,0,0,"25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Karnali vs Chitwan - Eliminator",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Karnali vs Janakpur - 3rd Match",33,22,2,2,"150",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Karnali vs Janakpur - Qualifier 2",2,3,0,0,"66.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Karnali vs Kathmandu - 6th Match",4,3,1,0,"133.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Karnali vs Lumbini - 22nd Match",25,25,2,1,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Karnali vs S Paschim - 28th Match",3,5,0,0,"60",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arjun Gharti","right handed Batter",7,"Pokhara vs Karnali - 17th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Babar Hayat","right handed Batter",5,"Karnali vs Janakpur - 3rd Match",12,25,0,0,"48",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Babar Hayat","right handed Batter",5,"Karnali vs Kathmandu - 6th Match",13,18,0,1,"72.22",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Babar Hayat","right handed Batter",5,"Karnali vs Lumbini - 22nd Match",20,22,1,1,"90.9",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Babar Hayat","right handed Batter",5,"Karnali vs S Paschim - 28th Match",13,9,3,0,"144.44",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Babar Hayat","right handed Batter",5,"Pokhara vs Karnali - 17th Match",7,10,0,1,"70",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bhuvan Karki","left-arm orthodox spin Bowler",0,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,"4",0,26,0,"6.5",0,0
"Bhuvan Karki","left-arm orthodox spin Bowler",0,"Karnali vs Kathmandu - 6th Match",NULL,NULL,NULL,NULL,NULL,"1",0,13,0,"13",0,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Chitwan vs Karnali - 10th Match",NULL,NULL,NULL,NULL,NULL,"4",0,21,3,"5.25",0,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Karnali vs Biratnagar - 13th Match",0,1,0,0,"0","4",1,20,2,"5",1,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Karnali vs Chitwan - Eliminator",NULL,NULL,NULL,NULL,NULL,"4",0,27,1,"6.75",1,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Karnali vs Janakpur - Qualifier 2",NULL,NULL,NULL,NULL,NULL,"4",0,17,3,"4.25",0,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Karnali vs Kathmandu - 6th Match",NULL,NULL,NULL,NULL,NULL,"4",0,18,1,"4.5",1,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Karnali vs Lumbini - 22nd Match",NULL,NULL,NULL,NULL,NULL,"4",1,25,1,"6.25",0,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Karnali vs S Paschim - 28th Match",0,2,0,0,"0","3",0,22,1,"7.33",0,0
"Bipin Sharma","left-arm orthodox spin Bowler",2,"Pokhara vs Karnali - 17th Match",NULL,NULL,NULL,NULL,NULL,"2",0,21,1,"10.5",0,0
"Chadwick Walton","WicketKeeper Batter",9,"Chitwan vs Karnali - 10th Match",30,19,0,3,"157.89",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chadwick Walton","WicketKeeper Batter",9,"Karnali vs Biratnagar - 13th Match",1,5,0,0,"20",NULL,NULL,NULL,NULL,NULL,NULL,NULL
