Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Arjun Gharti,Right Handed Batter,7,T,Chitwan  - 10th ,11,10,0,0,110,F,0,0,0,0,0,,0
Arjun Gharti,Right Handed Batter,7,T, Biratnagar - 13th ,1,4,0,0,25,F,0,0,0,0,0,0,0
Arjun Gharti,Right Handed Batter,7,F, Chitwan - Eliminator,0,0,0,0,0,F,0,0,0,0,0,0,0
Arjun Gharti,Right Handed Batter,7,T, Janakpur - 3rd ,33,22,2,2,150,F,0,0,0,0,0,0,0
Arjun Gharti,Right Handed Batter,7,T, Janakpur - Qualifier 2,2,3,0,0,66.67,F,0,0,0,0,0,0,0
Arjun Gharti,Right Handed Batter,7,T, Kathmandu - 6th ,4,3,1,0,133.33,F,0,0,0,0,0,0,0
Arjun Gharti,Right Handed Batter,7,T, Lumbini - 22nd ,25,25,2,1,100,F,0,0,0,0,0,0,0
Arjun Gharti,Right Handed Batter,7,T, S Paschim - 28th ,3,5,0,0,60,F,0,0,0,0,0,0,0
Arjun Gharti,Right Handed Batter,7,F,Pokhara  - 17th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Babar Hayat,Right Handed Batter,5,T, Janakpur - 3rd ,12,25,0,0,48,F,0,0,0,0,0,0,0
Babar Hayat,Right Handed Batter,5,T, Kathmandu - 6th ,13,18,0,1,72.22,F,0,0,0,0,0,0,0
Babar Hayat,Right Handed Batter,5,T, Lumbini - 22nd ,20,22,1,1,90.91,F,0,0,0,0,0,0,0
Babar Hayat,Right Handed Batter,5,T, S Paschim - 28th ,13,9,3,0,144.44,F,0,0,0,0,0,0,0
Babar Hayat,Right Handed Batter,5,T,Pokhara  - 17th ,7,10,0,1,70,F,0,0,0,0,0,0,0
Bhuvan Karki,Left-Arm Orthodox Spin Bowler,0,F, Janakpur - 3rd ,0,0,0,0,0,T,4,0,26,0,6.5,0,0
Bhuvan Karki,Left-Arm Orthodox Spin Bowler,0,F, Kathmandu - 6th ,0,0,0,0,0,T,1,0,13,0,13,0,0
Bipin Sharma,Left-Arm Orthodox Spin Bowler,2,F,Chitwan  - 10th ,0,0,0,0,0,T,4,0,21,3,5.25,0,0
Bipin Sharma,Left-Arm Orthodox Spin Bowler,2,T, Biratnagar - 13th ,0,1,0,0,0,T,4,1,20,2,5,1,0
Bipin Sharma,Left-Arm Orthodox Spin Bowler,2,F, Chitwan - Eliminator,0,0,0,0,0,T,4,0,27,1,6.75,1,0
Bipin Sharma,Left-Arm Orthodox Spin Bowler,2,F, Janakpur - Qualifier 2,0,0,0,0,0,T,4,0,17,3,4.25,0,0
Bipin Sharma,Left-Arm Orthodox Spin Bowler,2,F, Kathmandu - 6th ,0,0,0,0,0,T,4,0,18,1,4.5,1,0
Bipin Sharma,Left-Arm Orthodox Spin Bowler,2,F, Lumbini - 22nd ,0,0,0,0,0,T,4,1,25,1,6.25,0,0
