"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Bhim Sharki","All Rounder",7,"Biratnagar vs Kathmandu - 26th Match",1,5,0,0,"20",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bhim Sharki","All Rounder",7,"Karnali vs Kathmandu - 6th Match",9,10,1,0,"90","3",0,18,0,"6",0,0
"Bhim Sharki","All Rounder",7,"Kathmandu vs Chitwan - 2nd Match",1,4,0,0,"25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bhim Sharki","All Rounder",7,"Kathmandu vs Janakpur - 21st Match",4,11,1,0,"36.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bhim Sharki","All Rounder",7,"Kathmandu vs Lumbini - 19th Match",31,40,1,0,"77.5","1",0,8,0,"8",1,0
"Bhim Sharki","All Rounder",7,"Pokhara vs Kathmandu - 24th Match",22,20,1,1,"110","1",0,4,0,"4",0,0
"Bhim Sharki","All Rounder",7,"S Paschim vs Kathmandu - 9th Match",10,8,2,0,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dan Douthwaite","All Rounder",4,"Biratnagar vs Kathmandu - 26th Match",1,5,0,0,"20","2",0,14,1,"7",0,1
"Dan Douthwaite","All Rounder",4,"Kathmandu vs Chitwan - 2nd Match",19,18,2,0,"105.55","3",0,15,1,"5",1,0
"Dan Douthwaite","All Rounder",4,"Kathmandu vs Janakpur - 21st Match",1,5,0,0,"20","1.5",0,21,0,"11.45",1,0
"Dan Douthwaite","All Rounder",4,"Kathmandu vs Lumbini - 19th Match",21,24,0,2,"87.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dipesh Kandel","All Rounder",4,"Biratnagar vs Kathmandu - 26th Match",11,5,1,1,"220","4",0,16,2,"4",0,0
"Dipesh Kandel","All Rounder",4,"Karnali vs Kathmandu - 6th Match",NULL,NULL,NULL,NULL,NULL,"1",0,7,1,"7",0,0
"Dipesh Kandel","All Rounder",4,"Kathmandu vs Chitwan - 2nd Match",1,2,0,0,"50","4",0,29,0,"7.25",0,0
"Dipesh Kandel","All Rounder",4,"Kathmandu vs Janakpur - 21st Match",0,2,0,0,"0","3",0,29,1,"9.66",0,0
"Dipesh Kandel","All Rounder",4,"Kathmandu vs Lumbini - 19th Match",0,0,0,0,"-","4",0,6,3,"1.5",0,0
"Dipesh Kandel","All Rounder",4,"Pokhara vs Kathmandu - 24th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Gerhard Erasmus","All Rounder",7,"Biratnagar vs Kathmandu - 26th Match",12,7,3,0,"171.42","4",0,17,3,"4.25",2,0
"Gerhard Erasmus","All Rounder",7,"Karnali vs Kathmandu - 6th Match",38,28,3,2,"135.71","4",0,29,2,"7.25",3,0
"Gerhard Erasmus","All Rounder",7,"Kathmandu vs Chitwan - 2nd Match",4,4,1,0,"100","3.1",0,22,1,"6.94",2,0
"Gerhard Erasmus","All Rounder",7,"Kathmandu vs Janakpur - 21st Match",20,22,2,0,"90.9","4",0,21,1,"5.25",2,0
"Gerhard Erasmus","All Rounder",7,"Kathmandu vs Lumbini - 19th Match",1,4,0,0,"25","4",0,19,2,"4.75",1,0
"Gerhard Erasmus","All Rounder",7,"Pokhara vs Kathmandu - 24th Match",25,10,1,3,"250","4",0,14,1,"3.5",1,0
"Gerhard Erasmus","All Rounder",7,"S Paschim vs Kathmandu - 9th Match",10,5,1,1,"200","2",0,9,1,"4.5",0,0
"Karan KC","All Rounder",7,"Biratnagar vs Kathmandu - 26th Match",0,1,0,0,"0","3.5",0,25,1,"6.52",2,0
"Karan KC","All Rounder",7,"Karnali vs Kathmandu - 6th Match",28,10,2,2,"280","3",0,19,1,"6.33",1,0
"Karan KC","All Rounder",7,"Kathmandu vs Chitwan - 2nd Match",1,2,0,0,"50","2",0,18,0,"9",0,0
"Karan KC","All Rounder",7,"Kathmandu vs Janakpur - 21st Match",19,13,2,1,"146.15","3",0,10,2,"3.33",0,0
"Karan KC","All Rounder",7,"Kathmandu vs Lumbini - 19th Match",1,5,0,0,"20","4",0,16,4,"4",0,0
"Karan KC","All Rounder",7,"Pokhara vs Kathmandu - 24th Match",1,3,0,0,"33.33","4",0,24,3,"6",0,0
"Karan KC","All Rounder",7,"S Paschim vs Kathmandu - 9th Match",1,5,0,0,"20","4",0,40,1,"10",4,0
"Michael Levitt","All Rounder",7,"Biratnagar vs Kathmandu - 26th Match",10,6,2,0,"166.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Michael Levitt","All Rounder",7,"Karnali vs Kathmandu - 6th Match",22,19,2,1,"115.78",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Michael Levitt","All Rounder",7,"Kathmandu vs Chitwan - 2nd Match",25,16,4,1,"156.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Michael Levitt","All Rounder",7,"Kathmandu vs Janakpur - 21st Match",8,6,0,1,"133.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Michael Levitt","All Rounder",7,"Kathmandu vs Lumbini - 19th Match",0,2,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Michael Levitt","All Rounder",7,"Pokhara vs Kathmandu - 24th Match",32,18,6,1,"177.77","3",0,13,1,"4.33",0,0
"Michael Levitt","All Rounder",7,"S Paschim vs Kathmandu - 9th Match",5,7,1,0,"71.42","3",0,32,0,"10.66",1,0
"Nathan Sowter","right-arm leg-break Bowler",1,"Karnali vs Kathmandu - 6th Match",NULL,NULL,NULL,NULL,NULL,"4",0,32,1,"8",1,0
"Nathan Sowter","right-arm leg-break Bowler",1,"Pokhara vs Kathmandu - 24th Match",NULL,NULL,NULL,NULL,NULL,"2",0,20,0,"10",1,0
"Nathan Sowter","right-arm leg-break Bowler",1,"S Paschim vs Kathmandu - 9th Match",1,1,0,0,"100","3",0,34,0,"11.33",0,0
"Pratik Shrestha","All Rounder",4,"Biratnagar vs Kathmandu - 26th Match",39,34,2,2,"114.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pratik Shrestha","All Rounder",4,"Kathmandu vs Janakpur - 21st Match",6,11,1,0,"54.54",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pratik Shrestha","All Rounder",4,"Kathmandu vs Lumbini - 19th Match",20,14,0,2,"142.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pratik Shrestha","All Rounder",4,"Pokhara vs Kathmandu - 24th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pratik Shrestha","All Rounder",4,"S Paschim vs Kathmandu - 9th Match",8,6,0,1,"133.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Raju Rijal","WicketKeeper Batter",0,"Pokhara vs Kathmandu - 24th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rashid Khan","right handed Batter",7,"Biratnagar vs Kathmandu - 26th Match",14,15,1,1,"93.33","2",0,20,0,"10",1,0
"Rashid Khan","right handed Batter",7,"Karnali vs Kathmandu - 6th Match",0,0,0,0,"-","4",0,28,0,"7",1,0
"Rashid Khan","right handed Batter",7,"Kathmandu vs Chitwan - 2nd Match",4,9,0,0,"44.44","1",0,3,0,"3",0,0
"Rashid Khan","right handed Batter",7,"Kathmandu vs Janakpur - 21st Match",7,16,0,0,"43.75",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rashid Khan","right handed Batter",7,"Kathmandu vs Lumbini - 19th Match",1,2,0,0,"50","2.2",0,22,1,"9.42",1,0
"Rashid Khan","right handed Batter",7,"Pokhara vs Kathmandu - 24th Match",1,1,0,0,"100","4",0,43,3,"10.75",0,0
"Rashid Khan","right handed Batter",7,"S Paschim vs Kathmandu - 9th Match",2,10,0,0,"20","4",0,20,2,"5",1,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"Biratnagar vs Kathmandu - 26th Match",2,8,0,0,"25","4",0,23,1,"5.75",0,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"Karnali vs Kathmandu - 6th Match",0,0,0,0,"-","1",0,10,0,"10",0,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"Kathmandu vs Chitwan - 2nd Match",1,3,0,0,"33.33","4",0,20,3,"5",0,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"Kathmandu vs Janakpur - 21st Match",8,9,1,0,"88.88","4",0,22,1,"5.5",0,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"Kathmandu vs Lumbini - 19th Match",8,5,0,1,"160","4",0,10,0,"2.5",0,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"Pokhara vs Kathmandu - 24th Match",NULL,NULL,NULL,NULL,NULL,"2",0,12,0,"6",1,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"S Paschim vs Kathmandu - 9th Match",1,3,0,0,"33.33","4",0,28,1,"7",0,0
"Shankar Rana","right handed Batter",4,"Biratnagar vs Kathmandu - 26th Match",16,20,1,0,"80",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shankar Rana","right handed Batter",4,"Karnali vs Kathmandu - 6th Match",6,7,1,0,"85.71",NULL,NULL,NULL,NULL,NULL,NULL,NULL
