"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Abhishesh Gautam","right handed Batter",1,"Janakpur vs Lumbini - 14th Match",NULL,NULL,NULL,NULL,NULL,"4",0,20,3,"5",0,0
"Abhishesh Gautam","right handed Batter",1,"Karnali vs Lumbini - 22nd Match",NULL,NULL,NULL,NULL,NULL,"4",0,11,0,"2.75",0,0
"Abhishesh Gautam","right handed Batter",1,"Kathmandu vs Lumbini - 19th Match",0,1,0,0,"0","4",0,16,2,"4",0,0
"Abhishesh Gautam","right handed Batter",1,"Lumbini vs Chitwan - 16th Match",NULL,NULL,NULL,NULL,NULL,"4",0,31,1,"7.75",1,0
"Ashutosh Ghiraiya","right handed Batter",6,"Janakpur vs Lumbini - 14th Match",8,14,1,0,"57.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ashutosh Ghiraiya","right handed Batter",6,"Karnali vs Lumbini - 22nd Match",16,21,2,0,"76.19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ashutosh Ghiraiya","right handed Batter",6,"Kathmandu vs Lumbini - 19th Match",4,12,0,0,"33.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ashutosh Ghiraiya","right handed Batter",6,"Lumbini vs Biratnagar - 7th Match",15,13,2,1,"115.38",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ashutosh Ghiraiya","right handed Batter",6,"Lumbini vs Chitwan - 16th Match",1,7,0,0,"14.28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ashutosh Ghiraiya","right handed Batter",6,"Lumbini vs Pokhara - 11th Match",0,3,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ben Cutting","All Rounder",3,"Janakpur vs Lumbini - 14th Match",3,7,0,0,"42.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ben Cutting","All Rounder",3,"Karnali vs Lumbini - 22nd Match",1,6,0,0,"16.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ben Cutting","All Rounder",3,"Lumbini vs Biratnagar - 7th Match",6,6,1,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bibek Yadav","All Rounder",5,"Janakpur vs Lumbini - 14th Match",0,2,0,0,"0","2",0,19,0,"9.5",4,0
"Bibek Yadav","All Rounder",5,"Kathmandu vs Lumbini - 19th Match",2,8,0,0,"25","2",0,9,1,"4.5",2,0
"Bibek Yadav","All Rounder",5,"Lumbini vs Biratnagar - 7th Match",19,7,0,3,"271.42","3.5",0,64,1,"16.69",5,0
"Bibek Yadav","All Rounder",5,"Lumbini vs Chitwan - 16th Match",NULL,NULL,NULL,NULL,NULL,"3",0,31,0,"10.33",1,0
"Bibek Yadav","All Rounder",5,"Lumbini vs Pokhara - 11th Match",2,1,0,0,"200","1",0,13,0,"13",0,0
"Bibek Yadav","All Rounder",5,"S Paschim vs Lumbini - 12th Match",77,54,3,7,"142.59","3",0,35,1,"11.66",2,0
"Dinesh Adhikari","right-arm medium Bowler",1,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"1",0,20,0,"20",0,0
"Dinesh Adhikari","right-arm medium Bowler",1,"S Paschim vs Lumbini - 12th Match",14,16,2,0,"87.5","1",0,11,0,"11",0,0
"Durgesh Gupta","right-arm medium Bowler",2,"Janakpur vs Lumbini - 14th Match",5,3,1,0,"166.66","2",0,16,0,"8",0,0
"Durgesh Gupta","right-arm medium Bowler",2,"Lumbini vs Biratnagar - 7th Match",NULL,NULL,NULL,NULL,NULL,"4",0,21,3,"5.25",0,0
"Durgesh Gupta","right-arm medium Bowler",2,"Lumbini vs Chitwan - 16th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Durgesh Gupta","right-arm medium Bowler",2,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"3",0,41,0,"13.66",0,0
"Durgesh Gupta","right-arm medium Bowler",2,"S Paschim vs Lumbini - 12th Match",0,1,0,0,"0","2",0,26,0,"13",0,0
"Ramon Simmonds","left-arm fast-medium Bowler",4,"Janakpur vs Lumbini - 14th Match",NULL,NULL,NULL,NULL,NULL,"3",0,26,0,"8.66",1,0
"Ramon Simmonds","left-arm fast-medium Bowler",4,"Karnali vs Lumbini - 22nd Match",4,7,0,0,"57.14","4",0,40,1,"10",1,0
"Ramon Simmonds","left-arm fast-medium Bowler",4,"Kathmandu vs Lumbini - 19th Match",0,2,0,0,"0","3.2",0,21,2,"6.3",0,0
"Ramon Simmonds","left-arm fast-medium Bowler",4,"Lumbini vs Biratnagar - 7th Match",2,3,0,0,"66.66","4",0,33,2,"8.25",2,0
"Ramon Simmonds","left-arm fast-medium Bowler",4,"Lumbini vs Chitwan - 16th Match",NULL,NULL,NULL,NULL,NULL,"4",0,22,2,"5.5",1,0
"Ramon Simmonds","left-arm fast-medium Bowler",4,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"2",0,20,0,"10",1,0
"Ramon Simmonds","left-arm fast-medium Bowler",4,"S Paschim vs Lumbini - 12th Match",0,1,0,0,"0","4",0,32,2,"8",0,0
"Rohit Paudel","All Rounder",7,"Janakpur vs Lumbini - 14th Match",35,38,3,0,"92.1","4",0,22,2,"5.5",0,0
"Rohit Paudel","All Rounder",7,"Karnali vs Lumbini - 22nd Match",10,8,2,0,"125","2",0,6,1,"3",0,0
"Rohit Paudel","All Rounder",7,"Kathmandu vs Lumbini - 19th Match",8,15,0,0,"53.33","2",0,17,0,"8.5",0,0
"Rohit Paudel","All Rounder",7,"Lumbini vs Biratnagar - 7th Match",46,29,4,2,"158.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rohit Paudel","All Rounder",7,"Lumbini vs Chitwan - 16th Match",80,57,6,5,"140.35","4",0,17,4,"4.25",0,0
"Rohit Paudel","All Rounder",7,"Lumbini vs Pokhara - 11th Match",95,59,10,4,"161.01","3",0,23,0,"7.66",0,0
"Rohit Paudel","All Rounder",7,"S Paschim vs Lumbini - 12th Match",5,6,1,0,"83.33","4",0,22,1,"5.5",0,0
"Saad Bin Zafar","All Rounder",6,"Janakpur vs Lumbini - 14th Match",0,2,0,0,"0","3",0,11,2,"3.66",1,0
"Saad Bin Zafar","All Rounder",6,"Karnali vs Lumbini - 22nd Match",16,11,1,0,"145.45","4",0,29,1,"7.25",1,0
"Saad Bin Zafar","All Rounder",6,"Kathmandu vs Lumbini - 19th Match",0,1,0,0,"0","4",0,21,3,"5.25",0,0
"Saad Bin Zafar","All Rounder",6,"Lumbini vs Biratnagar - 7th Match",15,13,0,1,"115.38","4",0,35,2,"8.75",1,0
"Saad Bin Zafar","All Rounder",6,"Lumbini vs Chitwan - 16th Match",52,35,4,1,"148.57","4",0,21,1,"5.25",0,0
"Saad Bin Zafar","All Rounder",6,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"3",0,26,0,"8.66",1,0
"Saad Bin Zafar","All Rounder",6,"S Paschim vs Lumbini - 12th Match",0,1,0,0,"0","3",0,28,0,"9.33",0,0
"Sundeep Jora","right handed Batter",7,"Janakpur vs Lumbini - 14th Match",16,8,1,1,"200","2",0,13,1,"6.5",0,0
"Sundeep Jora","right handed Batter",7,"Karnali vs Lumbini - 22nd Match",24,21,0,2,"114.28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sundeep Jora","right handed Batter",7,"Kathmandu vs Lumbini - 19th Match",26,29,2,0,"89.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sundeep Jora","right handed Batter",7,"Lumbini vs Biratnagar - 7th Match",12,13,0,0,"92.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sundeep Jora","right handed Batter",7,"Lumbini vs Chitwan - 16th Match",4,3,1,0,"133.33","1",0,9,0,"9",0,0
"Sundeep Jora","right handed Batter",7,"Lumbini vs Pokhara - 11th Match",18,15,2,1,"120",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sundeep Jora","right handed Batter",7,"S Paschim vs Lumbini - 12th Match",20,26,0,1,"76.92",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Surya Tamang","left-arm orthodox spin Bowler",2,"Kathmandu vs Lumbini - 19th Match",11,14,1,0,"78.57","4",0,18,1,"4.5",0,0
"Surya Tamang","left-arm orthodox spin Bowler",2,"Lumbini vs Biratnagar - 7th Match",NULL,NULL,NULL,NULL,NULL,"4",0,35,0,"8.75",2,0
"Surya Tamang","left-arm orthodox spin Bowler",2,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"3.5",0,30,0,"7.82",0,0
"Surya Tamang","left-arm orthodox spin Bowler",2,"S Paschim vs Lumbini - 12th Match",7,5,1,0,"140","3",0,28,0,"9.33",0,0
"Tilak Bhandari","WicketKeeper Batter",1,"Karnali vs Lumbini - 22nd Match",3,5,0,0,"60","4",0,23,2,"5.75",0,0
"Tom Moores","WicketKeeper Batter",7,"Janakpur vs Lumbini - 14th Match",31,23,2,1,"134.78",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tom Moores","WicketKeeper Batter",7,"Karnali vs Lumbini - 22nd Match",36,35,4,1,"102.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tom Moores","WicketKeeper Batter",7,"Kathmandu vs Lumbini - 19th Match",6,5,1,0,"120",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tom Moores","WicketKeeper Batter",7,"Lumbini vs Biratnagar - 7th Match",30,17,1,3,"176.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tom Moores","WicketKeeper Batter",7,"Lumbini vs Chitwan - 16th Match",10,5,0,1,"200",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tom Moores","WicketKeeper Batter",7,"Lumbini vs Pokhara - 11th Match",45,38,2,2,"118.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tom Moores","WicketKeeper Batter",7,"S Paschim vs Lumbini - 12th Match",7,7,0,1,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unmukt Chand","right handed Batter",4,"Kathmandu vs Lumbini - 19th Match",14,19,1,0,"73.68",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unmukt Chand","right handed Batter",4,"Lumbini vs Chitwan - 16th Match",0,2,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unmukt Chand","right handed Batter",4,"Lumbini vs Pokhara - 11th Match",0,4,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unmukt Chand","right handed Batter",4,"S Paschim vs Lumbini - 12th Match",4,4,1,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
