"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Aakarshit Gomel","All Rounder",1,"Pokhara vs Kathmandu - 24th Match",8,15,0,0,"53.33","1",0,13,0,"13",0,0
"Aakash Chand","right-arm medium Bowler",1,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"4",0,35,0,"8.75",1,0
"Aakash Chand","right-arm medium Bowler",1,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,"2",0,21,0,"10.5",2,0
"Aakash Chand","right-arm medium Bowler",1,"Pokhara vs Karnali - 17th Match",1,3,0,0,"33.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aakash Chand","right-arm medium Bowler",1,"Pokhara vs Kathmandu - 24th Match",NULL,NULL,NULL,NULL,NULL,"1",0,18,0,"18",0,1
"Andries Gous","WicketKeeper Batter",7,"Biratnagar vs Pokhara - 20th match",39,27,7,0,"144.44",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andries Gous","WicketKeeper Batter",7,"Biratnagar vs Pokhara - 20th match",1,1,0,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andries Gous","WicketKeeper Batter",7,"Lumbini vs Pokhara - 11th Match",104,55,12,5,"189.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andries Gous","WicketKeeper Batter",7,"Pokhara vs Janakpur - 8th Match",20,16,3,1,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andries Gous","WicketKeeper Batter",7,"Pokhara vs Karnali - 17th Match",25,12,4,1,"208.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andries Gous","WicketKeeper Batter",7,"Pokhara vs Kathmandu - 24th Match",0,5,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andries Gous","WicketKeeper Batter",7,"S Paschim vs Pokhara - 27th Match",36,21,4,2,"171.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bas de Leede","All Rounder",1,"Chitwan vs Pokhara - 5th Match",0,1,0,0,"0","4",0,20,2,"5",1,0
"Bipin Khatri","All Rounder",5,"Biratnagar vs Pokhara - 20th match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bipin Khatri","All Rounder",5,"Chitwan vs Pokhara - 5th Match",9,8,0,1,"112.5","3",0,28,2,"9.33",1,0
"Bipin Khatri","All Rounder",5,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"3",0,18,2,"6",0,0
"Bipin Khatri","All Rounder",5,"Pokhara vs Janakpur - 8th Match",1,1,0,0,"100","1",0,6,1,"6",0,0
"Bipin Khatri","All Rounder",5,"Pokhara vs Karnali - 17th Match",10,9,0,1,"111.11","3",1,12,1,"4",0,0
"Bipin Khatri","All Rounder",5,"Pokhara vs Kathmandu - 24th Match",4,6,0,0,"66.66","3",0,19,3,"6.33",0,0
"Bipin Khatri","All Rounder",5,"S Paschim vs Pokhara - 27th Match",0,2,0,0,"0","2",0,20,0,"10",1,0
"Dilip Nath","left handed Batter",5,"Chitwan vs Pokhara - 5th Match",4,4,1,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dilip Nath","left handed Batter",5,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dilip Nath","left handed Batter",5,"Pokhara vs Janakpur - 8th Match",11,14,1,0,"78.57",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dilip Nath","left handed Batter",5,"Pokhara vs Karnali - 17th Match",3,5,0,0,"60",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dilip Nath","left handed Batter",5,"Pokhara vs Kathmandu - 24th Match",27,24,0,2,"112.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dilip Nath","left handed Batter",5,"S Paschim vs Pokhara - 27th Match",1,4,0,0,"25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dinesh Kharel","All Rounder",7,"Biratnagar vs Pokhara - 20th match",11,11,0,1,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dinesh Kharel","All Rounder",7,"Chitwan vs Pokhara - 5th Match",1,12,0,0,"8.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dinesh Kharel","All Rounder",7,"Lumbini vs Pokhara - 11th Match",61,46,4,4,"132.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dinesh Kharel","All Rounder",7,"Pokhara vs Janakpur - 8th Match",10,17,0,1,"58.82",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dinesh Kharel","All Rounder",7,"Pokhara vs Karnali - 17th Match",26,19,4,1,"136.84",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dinesh Kharel","All Rounder",7,"Pokhara vs Kathmandu - 24th Match",38,25,6,1,"152","0.1",0,6,0,"36",0,0
"Dinesh Kharel","All Rounder",7,"S Paschim vs Pokhara - 27th Match",15,12,3,0,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kiran Thagunna","right handed Batter",2,"Biratnagar vs Pokhara - 20th match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kiran Thagunna","right handed Batter",2,"Chitwan vs Pokhara - 5th Match",1,2,0,0,"50",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kiran Thagunna","right handed Batter",2,"S Paschim vs Pokhara - 27th Match",32,28,3,1,"114.28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kushal Bhurtel","right handed Batter",6,"Biratnagar vs Pokhara - 20th match",31,34,2,1,"91.17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kushal Bhurtel","right handed Batter",6,"Chitwan vs Pokhara - 5th Match",0,1,0,0,"0","1",0,10,0,"10",0,0
"Kushal Bhurtel","right handed Batter",6,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kushal Bhurtel","right handed Batter",6,"Pokhara vs Janakpur - 8th Match",6,6,1,0,"100","2.1",0,18,1,"8.3",0,0
"Kushal Bhurtel","right handed Batter",6,"Pokhara vs Karnali - 17th Match",10,11,0,1,"90.9","1",0,14,1,"14",0,0
"Kushal Bhurtel","right handed Batter",6,"Pokhara vs Kathmandu - 24th Match",7,10,1,0,"70","2",0,12,0,"6",0,0
"Kushal Bhurtel","right handed Batter",6,"S Paschim vs Pokhara - 27th Match",0,3,0,0,"0","4",0,27,2,"6.75",0,0
"Matt Critchley","All Rounder",3,"Chitwan vs Pokhara - 5th Match",17,16,2,0,"106.25","2",0,20,0,"10",0,0
"Matt Critchley","All Rounder",3,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"3",0,29,1,"9.66",1,0
"Matt Critchley","All Rounder",3,"Pokhara vs Janakpur - 8th Match",35,30,3,1,"116.66","2",0,27,0,"13.5",0,0
"Matt Critchley","All Rounder",3,"Pokhara vs Karnali - 17th Match",0,9,0,0,"0","2",0,20,0,"10",0,0
"Michael Leask","All Rounder",6,"Biratnagar vs Pokhara - 20th match",11,12,0,1,"91.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Michael Leask","All Rounder",6,"Chitwan vs Pokhara - 5th Match",0,2,0,0,"0","2",0,18,0,"9",0,0
"Michael Leask","All Rounder",6,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"4",0,33,0,"8.25",0,0
