Players_Name,Players_Type,Total_Batted,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls,Did_Bat,Did_Bowl
Aakarshit Gomel,All Rounder,1, Kathmandu - 24th,8,15,0,0,53.33,1,0,13,0,13,0,0,T,T
Aakash Chand,Right-Arm Medium Bowler,1,Lumbini  - 11th,0,0,0,0,0,4,0,35,0,8.75,1,0,F,T
Aakash Chand,Right-Arm Medium Bowler,1, Janakpur - 8th,0,0,0,0,0,2,0,21,0,10.5,2,0,F,T
Aakash Chand,Right-Arm Medium Bowler,1, Karnali - 17th,1,3,0,0,33.33,0,0,0,0,0,0,0,T,F
Aakash Chand,Right-Arm Medium Bowler,1, Kathmandu - 24th,0,0,0,0,0,1,0,18,0,18,0,1,F,T
Andries Gous,Wicketkeeper Batter,7,Biratnagar  - 20th,39,27,7,0,144.44,0,0,0,0,0,0,0,T,F
Andries Gous,Wicketkeeper Batter,7,Biratnagar  - 20th,1,1,0,0,100,0,0,0,0,0,0,0,T,F
Andries Gous,Wicketkeeper Batter,7,Lumbini  - 11th,104,55,12,5,189.09,0,0,0,0,0,0,0,T,F
Andries Gous,Wicketkeeper Batter,7, Janakpur - 8th,20,16,3,1,125,0,0,0,0,0,0,0,T,F
Andries Gous,Wicketkeeper Batter,7, Karnali - 17th,25,12,4,1,208.33,0,0,0,0,0,0,0,T,F
Andries Gous,Wicketkeeper Batter,7, Kathmandu - 24th,0,5,0,0,0,0,0,0,0,0,0,0,T,F
Andries Gous,Wicketkeeper Batter,7,S Paschim  - 27th,36,21,4,2,171.43,0,0,0,0,0,0,0,T,F
Bas de Leede,All Rounder,1,Chitwan  - 5th,0,1,0,0,0,4,0,20,2,5,1,0,T,T
Bipin Khatri,All Rounder,5,Biratnagar  - 20th,0,0,0,0,0,0,0,0,0,0,0,0,F,F
Bipin Khatri,All Rounder,5,Chitwan  - 5th,9,8,0,1,112.5,3,0,28,2,9.33,1,0,T,T
Bipin Khatri,All Rounder,5,Lumbini  - 11th,0,0,0,0,0,3,0,18,2,6,0,0,F,T
Bipin Khatri,All Rounder,5, Janakpur - 8th,1,1,0,0,100,1,0,6,1,6,0,0,T,T
Bipin Khatri,All Rounder,5, Karnali - 17th,10,9,0,1,111.11,3,1,12,1,4,0,0,T,T
Bipin Khatri,All Rounder,5, Kathmandu - 24th,4,6,0,0,66.67,3,0,19,3,6.33,0,0,T,T
Bipin Khatri,All Rounder,5,S Paschim  - 27th,0,2,0,0,0,2,0,20,0,10,1,0,T,T
Dilip Nath,Left Handed Batter,5,Chitwan  - 5th,4,4,1,0,100,0,0,0,0,0,0,0,T,F
Dilip Nath,Left Handed Batter,5,Lumbini  - 11th,0,0,0,0,0,0,0,0,0,0,0,0,F,F
Dilip Nath,Left Handed Batter,5, Janakpur - 8th,11,14,1,0,78.57,0,0,0,0,0,0,0,T,F
Dilip Nath,Left Handed Batter,5, Karnali - 17th,3,5,0,0,60,0,0,0,0,0,0,0,T,F
Dilip Nath,Left Handed Batter,5, Kathmandu - 24th,27,24,0,2,112.5,0,0,0,0,0,0,0,T,F
Dilip Nath,Left Handed Batter,5,S Paschim  - 27th,1,4,0,0,25,0,0,0,0,0,0,0,T,F
Dinesh Kharel,All Rounder,7,Biratnagar  - 20th,11,11,0,1,100,0,0,0,0,0,0,0,T,F
