"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Aarif Sheikh","right handed Batter",8,"Chitwan vs S Paschim - 15th Match",4,9,0,0,"44.44",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"Janakpur vs S Paschim - Qualifier 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"Karnali vs S Paschim - 28th Match",4,3,1,0,"133.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"S Paschim vs Biratnagar - 4th Match",9,5,2,0,"180",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"S Paschim vs Janakpur - 18th Match",6,9,0,0,"66.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"S Paschim vs Janakpur - Final",1,3,0,0,"33.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"S Paschim vs Kathmandu - 9th Match",3,3,0,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"S Paschim vs Lumbini - 12th Match",0,1,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aarif Sheikh","right handed Batter",8,"S Paschim vs Pokhara - 27th Match",42,38,2,1,"110.52",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abinash Bohara","right-arm medium Bowler",2,"Chitwan vs S Paschim - 15th Match",0,0,0,0,"-","4",0,38,0,"9.5",2,0
"Abinash Bohara","right-arm medium Bowler",2,"Janakpur vs S Paschim - Qualifier 1",NULL,NULL,NULL,NULL,NULL,"2",0,9,1,"4.5",0,0
"Abinash Bohara","right-arm medium Bowler",2,"Karnali vs S Paschim - 28th Match",NULL,NULL,NULL,NULL,NULL,"2",0,14,0,"7",1,0
"Abinash Bohara","right-arm medium Bowler",2,"S Paschim vs Biratnagar - 4th Match",NULL,NULL,NULL,NULL,NULL,"3",0,17,3,"5.66",0,0
"Abinash Bohara","right-arm medium Bowler",2,"S Paschim vs Janakpur - 18th Match",2,3,0,0,"66.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abinash Bohara","right-arm medium Bowler",2,"S Paschim vs Janakpur - Final",NULL,NULL,NULL,NULL,NULL,"2",0,19,0,"9.5",0,0
"Abinash Bohara","right-arm medium Bowler",2,"S Paschim vs Kathmandu - 9th Match",NULL,NULL,NULL,NULL,NULL,"3",1,12,2,"4",1,0
"Abinash Bohara","right-arm medium Bowler",2,"S Paschim vs Lumbini - 12th Match",NULL,NULL,NULL,NULL,NULL,"4",0,28,1,"7",0,0
"Abinash Bohara","right-arm medium Bowler",2,"S Paschim vs Pokhara - 27th Match",NULL,NULL,NULL,NULL,NULL,"3",0,36,0,"12",1,0
"Amit Shrestha","right handed Batter",1,"S Paschim vs Biratnagar - 4th Match",1,5,0,0,"20",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Basant Khatri","All Rounder",1,"S Paschim vs Biratnagar - 4th Match",4,3,0,0,"133.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Basant Khatri","All Rounder",1,"S Paschim vs Lumbini - 12th Match",NULL,NULL,NULL,NULL,NULL,"1",0,12,0,"12",0,0
"Binod Bhandari","WicketKeeper Batter",9,"Chitwan vs S Paschim - 15th Match",10,8,2,0,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Binod Bhandari","WicketKeeper Batter",9,"Janakpur vs S Paschim - Qualifier 1",58,55,3,3,"105.45",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Binod Bhandari","WicketKeeper Batter",9,"Karnali vs S Paschim - 28th Match",4,5,1,0,"80",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Binod Bhandari","WicketKeeper Batter",9,"S Paschim vs Biratnagar - 4th Match",23,20,4,0,"115",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Binod Bhandari","WicketKeeper Batter",9,"S Paschim vs Janakpur - 18th Match",33,37,3,1,"89.18",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Binod Bhandari","WicketKeeper Batter",9,"S Paschim vs Janakpur - Final",41,31,1,3,"132.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
