Players_Name,Players_Type,Total_Batted,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls,Did_Bat,Did_Bowl
Aarif Sheikh,Right Handed Batter,8,Chitwan  - 15th ,4,9,0,0,44.44,0,0,0,0,0,0,0,T,F
,,,Janakpur  - Qualifier 1,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,,Karnali  - 28th ,4,3,1,0,133.33,0,0,0,0,0,0,0,T,F
,,, Biratnagar - 4th ,9,5,2,0,180,0,0,0,0,0,0,0,T,F
,,, Janakpur - 18th ,6,9,0,0,66.67,0,0,0,0,0,0,0,T,F
,,, Janakpur - Final,1,3,0,0,33.33,0,0,0,0,0,0,0,T,F
,,, Kathmandu - 9th ,3,3,0,0,100,0,0,0,0,0,0,0,T,F
,,, Lumbini - 12th ,0,1,0,0,0,0,0,0,0,0,0,0,T,F
,,, Pokhara - 27th ,42,38,2,1,110.53,0,0,0,0,0,0,0,T,F
Abinash Bohara,Right-Arm Medium Bowler,2,Chitwan  - 15th ,0,0,0,0,0,4,0,38,0,9.5,2,0,T,T
,,,Janakpur  - Qualifier 1,0,0,0,0,0,2,0,9,1,4.5,0,0,F,T
,,,Karnali  - 28th ,0,0,0,0,0,2,0,14,0,7,1,0,F,T
,,, Biratnagar - 4th ,0,0,0,0,0,3,0,17,3,5.67,0,0,F,T
,,, Janakpur - 18th ,2,3,0,0,66.67,0,0,0,0,0,0,0,T,F
,,, Janakpur - Final,0,0,0,0,0,2,0,19,0,9.5,0,0,F,T
,,, Kathmandu - 9th ,0,0,0,0,0,3,1,12,2,4,1,0,F,T
,,, Lumbini - 12th ,0,0,0,0,0,4,0,28,1,7,0,0,F,T
,,, Pokhara - 27th ,0,0,0,0,0,3,0,36,0,12,1,0,F,T
Amit Shrestha,Right Handed Batter,1, Biratnagar - 4th ,1,5,0,0,20,0,0,0,0,0,0,0,T,F
Basant Khatri,All Rounder,1, Biratnagar - 4th ,4,3,0,0,133.33,0,0,0,0,0,0,0,T,F
,,, Lumbini - 12th ,0,0,0,0,0,1,0,12,0,12,0,0,F,T
Binod Bhandari,Wicketkeeper Batter,9,Chitwan  - 15th ,10,8,2,0,125,0,0,0,0,0,0,0,T,F
,,,Janakpur  - Qualifier 1,58,55,3,3,105.45,0,0,0,0,0,0,0,T,F
,,,Karnali  - 28th ,4,5,1,0,80,0,0,0,0,0,0,0,T,F
,,, Biratnagar - 4th ,23,20,4,0,115,0,0,0,0,0,0,0,T,F
,,, Janakpur - 18th ,33,37,3,1,89.19,0,0,0,0,0,0,0,T,F
,,, Janakpur - Final,41,31,1,3,132.26,0,0,0,0,0,0,0,T,F
,,, Kathmandu - 9th ,35,28,2,2,125,0,0,0,0,0,0,0,T,F
,,, Lumbini - 12th ,17,13,2,0,130.77,0,0,0,0,0,0,0,T,F
,,, Pokhara - 27th ,14,16,1,1,87.5,0,0,0,0,0,0,0,T,F
Brandon McMullen,All Rounder,9,Chitwan  - 15th ,13,9,2,0,144.44,3,0,22,1,7.33,1,0,T,T
,,,Janakpur  - Qualifier 1,25,19,1,1,131.58,1,0,9,0,9,0,0,T,T
,,,Karnali  - 28th ,3,6,0,0,50,2,0,6,0,3,0,0,T,T
,,, Biratnagar - 4th ,36,26,2,2,138.46,3,1,8,1,2.67,0,0,T,T
,,, Janakpur - 18th ,11,17,0,0,64.71,0,0,0,0,0,0,0,T,F
,,, Janakpur - Final,14,12,0,1,116.67,1,0,13,0,13,0,0,T,T
,,, Kathmandu - 9th ,53,36,3,4,147.22,4,0,29,1,7.25,0,0,T,T
,,, Lumbini - 12th ,23,20,1,1,115,4,0,21,3,5.25,0,2,T,T
,,, Pokhara - 27th ,23,16,1,2,143.75,1,0,21,0,21,0,0,T,T
Dilpreet Bajwa,All Rounder,1,Chitwan  - 15th ,12,16,1,0,75,0,0,0,0,0,0,0,T,F
Dipendra Singh Airee,Right Handed Batter,9,Chitwan  - 15th ,1,2,0,0,50,4,0,32,1,8,0,0,T,T
,,,Janakpur  - Qualifier 1,20,16,1,1,125,4,0,29,3,7.25,0,0,T,T
,,,Karnali  - 28th ,38,29,4,1,131.03,4,0,20,2,5,1,0,T,T
,,, Biratnagar - 4th ,57,24,3,5,237.5,2,0,9,0,4.5,0,0,T,T
,,, Janakpur - 18th ,0,3,0,0,0,3,0,27,2,9,1,0,T,T
,,, Janakpur - Final,9,7,0,0,128.57,4,0,40,1,10,0,0,T,T
,,, Kathmandu - 9th ,43,25,3,2,172,0,0,0,0,0,0,0,T,F
,,, Lumbini - 12th ,39,19,4,2,205.26,0,0,0,0,0,0,0,T,F
,,, Pokhara - 27th ,20,16,0,1,125,4,0,18,0,4.5,0,0,T,T
Harmeet Singh,All Rounder,3,Janakpur  - Qualifier 1,0,0,0,0,0,4,0,13,0,3.25,0,0,F,T
,,,Karnali  - 28th ,0,0,0,0,0,4,0,17,3,4.25,2,0,F,T
,,, Janakpur - 18th ,1,3,0,0,33.33,4,2,2,2,0.5,1,0,T,T
,,, Janakpur - Final,14,8,0,1,175,4,0,32,0,8,1,0,T,T
,,, Pokhara - 27th ,13,10,0,1,130,4,0,26,3,6.5,2,0,T,T
Ishan Pandey,Left Handed Batter,7,Chitwan  - 15th ,35,28,4,1,125,1,0,8,0,8,0,0,T,T
,,,Janakpur  - Qualifier 1,0,0,0,0,0,1,0,10,0,10,0,0,F,T
,,,Karnali  - 28th ,38,36,4,0,105.56,0,0,0,0,0,0,0,T,F
,,, Biratnagar - 4th ,21,16,2,1,131.25,1,0,4,1,4,0,0,T,T
,,, Janakpur - 18th ,17,14,1,1,121.43,2,0,11,2,5.5,3,0,T,T
,,, Janakpur - Final,6,2,1,0,300,2,0,19,1,9.5,1,0,T,T
,,, Kathmandu - 9th ,1,5,0,0,20,0,0,0,0,0,0,0,T,F
,,, Lumbini - 12th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,, Pokhara - 27th ,10,11,1,0,90.91,0,0,0,0,0,0,0,T,F
Naren Saud,All Rounder,3,Chitwan  - 15th ,10,8,0,1,125,1,0,10,0,10,0,0,T,T
,,,Janakpur  - Qualifier 1,0,0,0,0,0,1,0,11,0,11,0,0,F,T
,,,Karnali  - 28th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,, Janakpur - 18th ,3,4,0,0,75,2,0,5,1,2.5,0,0,T,T
,,, Janakpur - Final,1,1,0,0,100,0.2,0,3,0,15,0,0,T,T
,,, Kathmandu - 9th ,0,0,0,0,0,3.5,0,19,5,5.43,0,0,F,T
,,, Lumbini - 12th ,0,0,0,0,0,3,0,29,0,9.67,1,0,F,T
,,, Pokhara - 27th ,0,0,0,0,0,3,0,20,0,6.67,2,0,F,T
Naresh Budayair,Right Handed Batter,4,Chitwan  - 15th ,5,10,0,0,50,0,0,0,0,0,0,0,T,F
,,,Janakpur  - Qualifier 1,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,,Karnali  - 28th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,, Biratnagar - 4th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,, Janakpur - 18th ,9,6,1,0,150,0,0,0,0,0,0,0,T,F
,,, Janakpur - Final,8,3,0,1,266.67,0,0,0,0,0,0,0,T,F
,,, Kathmandu - 9th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,, Lumbini - 12th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,, Pokhara - 27th ,6,3,1,0,200,0,0,0,0,0,0,0,T,F
Rohan Mustafa,All Rounder,1, Kathmandu - 9th ,4,7,0,0,57.14,1,0,8,0,8,0,0,T,T
Saif Zaib,All Rounder,9,Chitwan  - 15th ,18,11,3,0,163.64,3,0,22,1,7.33,0,0,T,T
,,,Janakpur  - Qualifier 1,32,21,3,2,152.38,3,0,20,2,6.67,0,0,T,T
,,,Karnali  - 28th ,11,13,2,0,84.62,4,0,14,1,3.5,0,0,T,T
,,, Biratnagar - 4th ,14,15,0,1,93.33,3.1,0,24,1,7.74,0,0,T,T
,,, Janakpur - 18th ,21,21,0,2,100,1,0,2,1,2,0,0,T,T
,,, Janakpur - Final,69,43,8,2,160.47,3,0,14,1,4.67,0,0,T,T
,,, Kathmandu - 9th ,11,9,1,0,122.22,2,0,15,1,7.5,0,0,T,T
,,, Lumbini - 12th ,90,61,6,5,147.54,4,0,33,3,8.25,1,0,T,T
,,, Pokhara - 27th ,9,8,1,0,112.5,1,0,7,1,7,0,0,T,T
Scott Kuggeleijn,All Rounder,7,Chitwan  - 15th ,16,10,3,0,160,4,0,29,2,7.25,1,0,T,T
,,,Janakpur  - Qualifier 1,0,0,0,0,0,4,0,32,1,8,3,0,F,T
,,,Karnali  - 28th ,0,0,0,0,0,4,0,29,2,7.25,1,0,F,T
,,, Biratnagar - 4th ,10,6,2,0,166.67,4,0,30,3,7.5,3,0,T,T
,,, Janakpur - 18th ,7,3,0,1,233.33,0.1,0,0,1,0,0,0,T,T
,,, Janakpur - Final,13,10,2,0,130,3,0,43,1,14.33,4,0,T,T
,,, Kathmandu - 9th ,7,7,0,0,100,2,0,10,0,5,0,0,T,T
,,, Lumbini - 12th ,11,6,0,1,183.33,4,0,19,2,4.75,3,0,T,T
,,, Pokhara - 27th ,2,3,0,0,66.67,3.4,1,18,5,5.29,3,0,T,T
